	chi_square_words	chi_square	chi_square_rang	dispersion	dispersion_numeric
0	untuniutntrng55886	0.0	84033	1000/1	1000.0
1	untuniutntrng55886	0.0	83653	1000/1	1000.0
2	untuniutntrng55886	0.0	83944	1000/1	1000.0
3	untuniutntrng55886	0.0	83820	1000/1	1000.0
4	untuniutntrng55886	0.0	83858	1000/1	1000.0
5	untuniutntrng55886	0.0	84074	1000/1	1000.0
6	untuniutntrng55886	0.0	83617	1000/1	1000.0
7	untuniutntrng55886	0.0	83859	1000/1	1000.0
8	untuniutntrng55886	0.0	84017	1000/1	1000.0
9	untuniutntrng55886	0.0	83933	1000/1	1000.0
10	untuniutntrng55886	0.0	83995	1000/1	1000.0
11	untuniutntrng55886	0.0	83975	1000/1	1000.0
12	untuniutntrng55886	0.0	83962	1000/1	1000.0
13	untuniutntrng55886	0.0	83847	1000/1	1000.0
14	untuniutntrng55886	0.0	83785	1000/1	1000.0
15	untuniutntrng55886	0.0	83999	1000/1	1000.0
16	untuniutntrng55886	0.0	83808	1000/1	1000.0
17	untuniutntrng55886	0.0	83926	1000/1	1000.0
18	untuniutntrng55886	0.0	83750	1000/1	1000.0
19	untuniutntrng55886	0.0	83949	1000/1	1000.0
20	untuniutntrng55886	0.0	83947	1000/1	1000.0
21	untuniutntrng55886	0.0	83819	1000/1	1000.0
22	untuniutntrng55886	0.0	83744	1000/1	1000.0
23	untuniutntrng55886	0.0	83809	1000/1	1000.0
24	untuniutntrng55886	0.0	83881	1000/1	1000.0
25	untuniutntrng55886	0.0	83981	1000/1	1000.0
26	untuniutntrng55886	0.0	83832	1000/1	1000.0
27	untuniutntrng55886	0.0	83917	1000/1	1000.0
28	untuniutntrng55886	0.0	83885	1000/1	1000.0
29	untuniutntrng55886	0.0	83916	1000/1	1000.0
30	untuniutntrng55886	0.0	83871	1000/1	1000.0
31	untuniutntrng55886	0.0	83874	1000/1	1000.0
32	untuniutntrng55886	0.0	83900	1000/1	1000.0
33	untuniutntrng55886	0.0	84000	1000/1	1000.0
34	untuniutntrng55886	0.0	83884	1000/1	1000.0
35	untuniutntrng55886	0.0	83895	1000/1	1000.0
36	untuniutntrng55886	0.0	83817	1000/1	1000.0
37	untuniutntrng55886	0.0	83982	1000/1	1000.0
38	untuniutntrng55886	0.0	83757	1000/1	1000.0
39	untuniutntrng55886	0.0	83862	1000/1	1000.0
40	untuniutntrng55886	0.0	83757	1000/1	1000.0
41	untuniutntrng55886	0.0	83913	1000/1	1000.0
42	untuniutntrng55886	0.0	83827	1000/1	1000.0
43	untuniutntrng55886	0.0	83854	1000/1	1000.0
44	untuniutntrng55886	0.0	83941	1000/1	1000.0
