	ranksum_words	ranksum	ranksum_rang	dispersion	dispersion_numeric
0	untuniutntrng55886	34.165010716588675	1	1000/1	1000.0
1	untuniutntrng55886	34.165010716588675	1	1000/1	1000.0
2	untuniutntrng55886	34.165010716588675	1	1000/1	1000.0
3	untuniutntrng55886	34.165010716588675	1	1000/1	1000.0
4	untuniutntrng55886	34.165010716588675	1	1000/1	1000.0
5	untuniutntrng55886	34.165010716588675	1	1000/1	1000.0
6	untuniutntrng55886	34.165010716588675	1	1000/1	1000.0
7	untuniutntrng55886	34.165010716588675	1	1000/1	1000.0
8	untuniutntrng55886	34.165010716588675	1	1000/1	1000.0
9	untuniutntrng55886	34.165010716588675	1	1000/1	1000.0
10	untuniutntrng55886	34.165010716588675	1	1000/1	1000.0
11	untuniutntrng55886	34.165010716588675	1	1000/1	1000.0
12	untuniutntrng55886	34.165010716588675	1	1000/1	1000.0
13	untuniutntrng55886	34.165010716588675	1	1000/1	1000.0
14	untuniutntrng55886	34.165010716588675	1	1000/1	1000.0
15	untuniutntrng55886	34.165010716588675	1	1000/1	1000.0
16	untuniutntrng55886	34.165010716588675	1	1000/1	1000.0
17	untuniutntrng55886	34.165010716588675	1	1000/1	1000.0
18	untuniutntrng55886	34.165010716588675	1	1000/1	1000.0
19	untuniutntrng55886	34.165010716588675	1	1000/1	1000.0
20	untuniutntrng55886	34.165010716588675	1	1000/1	1000.0
21	untuniutntrng55886	34.165010716588675	1	1000/1	1000.0
22	untuniutntrng55886	34.165010716588675	1	1000/1	1000.0
23	untuniutntrng55886	34.165010716588675	1	1000/1	1000.0
24	untuniutntrng55886	34.165010716588675	1	1000/1	1000.0
25	untuniutntrng55886	34.165010716588675	1	1000/1	1000.0
26	untuniutntrng55886	34.165010716588675	1	1000/1	1000.0
27	untuniutntrng55886	34.165010716588675	1	1000/1	1000.0
28	untuniutntrng55886	34.165010716588675	1	1000/1	1000.0
29	untuniutntrng55886	34.165010716588675	1	1000/1	1000.0
30	untuniutntrng55886	34.165010716588675	1	1000/1	1000.0
31	untuniutntrng55886	34.165010716588675	1	1000/1	1000.0
32	untuniutntrng55886	34.165010716588675	1	1000/1	1000.0
33	untuniutntrng55886	34.165010716588675	1	1000/1	1000.0
34	untuniutntrng55886	34.165010716588675	1	1000/1	1000.0
35	untuniutntrng55886	34.165010716588675	1	1000/1	1000.0
36	untuniutntrng55886	34.165010716588675	1	1000/1	1000.0
37	untuniutntrng55886	34.165010716588675	1	1000/1	1000.0
38	untuniutntrng55886	34.165010716588675	1	1000/1	1000.0
39	untuniutntrng55886	34.165010716588675	1	1000/1	1000.0
40	untuniutntrng55886	34.165010716588675	1	1000/1	1000.0
41	untuniutntrng55886	34.165010716588675	1	1000/1	1000.0
42	untuniutntrng55886	34.165010716588675	1	1000/1	1000.0
43	untuniutntrng55886	34.165010716588675	1	1000/1	1000.0
44	untuniutntrng55886	34.165010716588675	1	1000/1	1000.0
45	untuniutntrng55886	34.165010716588675	1	1000/1	1000.0
46	untuniutntrng55886	34.165010716588675	1	1000/1	1000.0
47	untuniutntrng55886	34.165010716588675	1	1000/1	1000.0
48	untuniutntrng55886	34.165010716588675	1	1000/1	1000.0
49	untuniutntrng55886	34.165010716588675	1	1000/1	1000.0
50	untuniutntrng55886	34.165010716588675	1	1000/1	1000.0
51	untuniutntrng55886	34.165010716588675	1	1000/1	1000.0
52	untuniutntrng55886	34.165010716588675	1	1000/1	1000.0
53	untuniutntrng55886	34.165010716588675	1	1000/1	1000.0
54	untuniutntrng55886	34.165010716588675	1	1000/1	1000.0
55	untuniutntrng55886	34.165010716588675	1	1000/1	1000.0
56	untuniutntrng55886	34.165010716588675	1	1000/1	1000.0
57	untuniutntrng55886	34.165010716588675	1	1000/1	1000.0
58	untuniutntrng55886	34.165010716588675	1	1000/1	1000.0
59	untuniutntrng55886	34.165010716588675	1	1000/1	1000.0
60	untuniutntrng55886	34.165010716588675	1	1000/1	1000.0
61	untuniutntrng55886	34.165010716588675	1	1000/1	1000.0
62	untuniutntrng55886	34.165010716588675	1	1000/1	1000.0
63	untuniutntrng55886	34.165010716588675	1	1000/1	1000.0
64	untuniutntrng55886	34.165010716588675	1	1000/1	1000.0
