	welsh_words	welsh	welsh_rang	dispersion	dispersion_numeric
0	untuniutntrng55886	0.0	48303	1000/1	1000.0
1	untuniutntrng55886	0.0	48438	1000/1	1000.0
2	untuniutntrng55886	0.0	48517	1000/1	1000.0
3	untuniutntrng55886	0.0	48225	1000/1	1000.0
4	untuniutntrng55886	0.0	48443	1000/1	1000.0
5	untuniutntrng55886	0.0	48475	1000/1	1000.0
6	untuniutntrng55886	0.0	48433	1000/1	1000.0
7	untuniutntrng55886	0.0	48297	1000/1	1000.0
8	untuniutntrng55886	0.0	48267	1000/1	1000.0
9	untuniutntrng55886	0.0	48383	1000/1	1000.0
10	untuniutntrng55886	0.0	48179	1000/1	1000.0
11	untuniutntrng55886	0.0	48373	1000/1	1000.0
12	untuniutntrng55886	0.0	48370	1000/1	1000.0
13	untuniutntrng55886	0.0	48320	1000/1	1000.0
14	untuniutntrng55886	0.0	48287	1000/1	1000.0
15	untuniutntrng55886	0.0	48525	1000/1	1000.0
16	untuniutntrng55886	0.0	48427	1000/1	1000.0
17	untuniutntrng55886	0.0	48319	1000/1	1000.0
18	untuniutntrng55886	0.0	48616	1000/1	1000.0
19	untuniutntrng55886	0.0	48315	1000/1	1000.0
20	untuniutntrng55886	0.0	48615	1000/1	1000.0
21	untuniutntrng55886	0.0	48351	1000/1	1000.0
22	untuniutntrng55886	0.0	48304	1000/1	1000.0
23	untuniutntrng55886	0.0	48338	1000/1	1000.0
24	untuniutntrng55886	0.0	48464	1000/1	1000.0
25	untuniutntrng55886	0.0	48484	1000/1	1000.0
26	untuniutntrng55886	0.0	48271	1000/1	1000.0
27	untuniutntrng55886	0.0	48014	1000/1	1000.0
28	untuniutntrng55886	0.0	48278	1000/1	1000.0
29	untuniutntrng55886	0.0	48479	1000/1	1000.0
30	untuniutntrng55886	0.0	48506	1000/1	1000.0
31	untuniutntrng55886	0.0	48367	1000/1	1000.0
32	untuniutntrng55886	0.0	48546	1000/1	1000.0
33	untuniutntrng55886	0.0	48610	1000/1	1000.0
34	untuniutntrng55886	0.0	48333	1000/1	1000.0
35	untuniutntrng55886	0.0	48486	1000/1	1000.0
36	untuniutntrng55886	0.0	48326	1000/1	1000.0
37	untuniutntrng55886	0.0	48403	1000/1	1000.0
38	untuniutntrng55886	0.0	48486	1000/1	1000.0
39	untuniutntrng55886	0.0	48209	1000/1	1000.0
40	untuniutntrng55886	0.0	48336	1000/1	1000.0
41	untuniutntrng55886	0.0	48291	1000/1	1000.0
42	untuniutntrng55886	0.0	48348	1000/1	1000.0
43	untuniutntrng55886	0.0	48275	1000/1	1000.0
44	untuniutntrng55886	0.0	48356	1000/1	1000.0
45	untuniutntrng55886	0.0	48302	1000/1	1000.0
46	untuniutntrng55886	0.0	48454	1000/1	1000.0
47	untuniutntrng55886	0.0	48289	1000/1	1000.0
48	untuniutntrng55886	0.0	48457	1000/1	1000.0
49	untuniutntrng55886	0.0	48323	1000/1	1000.0
50	untuniutntrng55886	0.0	48318	1000/1	1000.0
51	untuniutntrng55886	0.0	48338	1000/1	1000.0
52	untuniutntrng55886	0.0	48441	1000/1	1000.0
53	untuniutntrng55886	0.0	48442	1000/1	1000.0
54	untuniutntrng55886	0.0	48307	1000/1	1000.0
55	untuniutntrng55886	0.0	48559	1000/1	1000.0
56	untuniutntrng55886	0.0	48322	1000/1	1000.0
57	untuniutntrng55886	0.0	48189	1000/1	1000.0
58	untuniutntrng55886	0.0	48416	1000/1	1000.0
59	untuniutntrng55886	0.0	48522	1000/1	1000.0
60	untuniutntrng55886	0.0	48421	1000/1	1000.0
61	untuniutntrng55886	0.0	48410	1000/1	1000.0
62	untuniutntrng55886	0.0	48258	1000/1	1000.0
63	untuniutntrng55886	0.0	48556	1000/1	1000.0
64	untuniutntrng55886	0.0	48506	1000/1	1000.0
65	untuniutntrng55886	0.0	48405	1000/1	1000.0
66	untuniutntrng55886	0.0	48575	1000/1	1000.0
67	untuniutntrng55886	0.0	48450	1000/1	1000.0
68	untuniutntrng55886	0.0	48379	1000/1	1000.0
69	untuniutntrng55886	0.0	48310	1000/1	1000.0
70	untuniutntrng55886	0.0	48637	1000/1	1000.0
71	untuniutntrng55886	0.0	48602	1000/1	1000.0
72	untuniutntrng55886	0.0	48313	1000/1	1000.0
73	untuniutntrng55886	0.0	48432	1000/1	1000.0
74	untuniutntrng55886	0.0	48321	1000/1	1000.0
75	untuniutntrng55886	0.0	48345	1000/1	1000.0
76	untuniutntrng55886	0.0	48177	1000/1	1000.0
77	untuniutntrng55886	0.0	48490	1000/1	1000.0
78	untuniutntrng55886	0.0	48454	1000/1	1000.0
79	untuniutntrng55886	0.0	48094	1000/1	1000.0
80	untuniutntrng55886	0.0	48479	1000/1	1000.0
81	untuniutntrng55886	0.0	48280	1000/1	1000.0
