	tf_idf_words	tf_idf	tf_idf_rang	dispersion	dispersion_numeric
0	untuniutntrng55886	1.0492844662369851	1	1000/1	1000.0
1	untuniutntrng55886	1.049318645086132	1	1000/1	1000.0
2	untuniutntrng55886	1.049538073667196	1	1000/1	1000.0
3	untuniutntrng55886	1.0492114328175095	1	1000/1	1000.0
4	untuniutntrng55886	1.0485370031202157	1	1000/1	1000.0
5	untuniutntrng55886	1.0486199518760937	1	1000/1	1000.0
6	untuniutntrng55886	1.0487244430621492	1	1000/1	1000.0
7	untuniutntrng55886	1.0489055358056698	1	1000/1	1000.0
8	untuniutntrng55886	1.048783537463553	1	1000/1	1000.0
9	untuniutntrng55886	1.0493971834725278	1	1000/1	1000.0
10	untuniutntrng55886	1.049343538043433	1	1000/1	1000.0
11	untuniutntrng55886	1.0492679647868022	1	1000/1	1000.0
12	untuniutntrng55886	1.049009832909994	1	1000/1	1000.0
13	untuniutntrng55886	1.0491037548024664	1	1000/1	1000.0
14	untuniutntrng55886	1.0489360597322517	1	1000/1	1000.0
15	untuniutntrng55886	1.0490019622786098	1	1000/1	1000.0
16	untuniutntrng55886	1.048724974859309	1	1000/1	1000.0
17	untuniutntrng55886	1.0488842557887443	1	1000/1	1000.0
18	untuniutntrng55886	1.0486310699118433	1	1000/1	1000.0
19	untuniutntrng55886	1.0486729864367719	1	1000/1	1000.0
20	untuniutntrng55886	1.048897540565383	1	1000/1	1000.0
21	untuniutntrng55886	1.048961903108224	1	1000/1	1000.0
22	untuniutntrng55886	1.0491832827863692	1	1000/1	1000.0
23	untuniutntrng55886	1.0494012251527172	1	1000/1	1000.0
24	untuniutntrng55886	1.0490969913289985	1	1000/1	1000.0
25	untuniutntrng55886	1.0483900274541558	1	1000/1	1000.0
26	untuniutntrng55886	1.0495991575012067	1	1000/1	1000.0
27	untuniutntrng55886	1.0489107277302523	1	1000/1	1000.0
28	untuniutntrng55886	1.049100063304559	1	1000/1	1000.0
29	untuniutntrng55886	1.0488505693525187	1	1000/1	1000.0
30	untuniutntrng55886	1.0487478434563997	1	1000/1	1000.0
31	untuniutntrng55886	1.0485429707917528	1	1000/1	1000.0
32	untuniutntrng55886	1.0486348035336812	1	1000/1	1000.0
33	untuniutntrng55886	1.04843683280865	1	1000/1	1000.0
34	untuniutntrng55886	1.049085105528278	1	1000/1	1000.0
35	untuniutntrng55886	1.0491864992844455	1	1000/1	1000.0
36	untuniutntrng55886	1.0495900643701053	1	1000/1	1000.0
37	untuniutntrng55886	1.049683821951642	1	1000/1	1000.0
38	untuniutntrng55886	1.0490512416452435	1	1000/1	1000.0
39	untuniutntrng55886	1.0500570054085612	1	1000/1	1000.0
40	untuniutntrng55886	1.0495961100276403	1	1000/1	1000.0
41	untuniutntrng55886	1.0493609056527256	1	1000/1	1000.0
42	untuniutntrng55886	1.0492600179022198	1	1000/1	1000.0
43	untuniutntrng55886	1.0494621847570742	1	1000/1	1000.0
44	untuniutntrng55886	1.0486806722605069	1	1000/1	1000.0
45	untuniutntrng55886	1.0493886099584682	1	1000/1	1000.0
46	untuniutntrng55886	1.0489238806409658	1	1000/1	1000.0
47	untuniutntrng55886	1.0498050475892735	1	1000/1	1000.0
48	untuniutntrng55886	1.0491020116025298	1	1000/1	1000.0
49	untuniutntrng55886	1.0488869535235246	1	1000/1	1000.0
50	untuniutntrng55886	1.04917172139312	1	1000/1	1000.0
51	untuniutntrng55886	1.0487216081057904	1	1000/1	1000.0
52	untuniutntrng55886	1.0485409965321684	1	1000/1	1000.0
53	untuniutntrng55886	1.048877115798558	1	1000/1	1000.0
54	untuniutntrng55886	1.0486544300388645	1	1000/1	1000.0
55	untuniutntrng55886	1.0483614455839367	1	1000/1	1000.0
56	untuniutntrng55886	1.0486557504780492	1	1000/1	1000.0
57	untuniutntrng55886	1.049154034612342	1	1000/1	1000.0
58	untuniutntrng55886	1.0494007367962026	1	1000/1	1000.0
59	untuniutntrng55886	1.0482959468337163	1	1000/1	1000.0
60	untuniutntrng55886	1.0489611166500958	1	1000/1	1000.0
61	untuniutntrng55886	1.0485611560331185	1	1000/1	1000.0
62	untuniutntrng55886	1.0493972264753204	1	1000/1	1000.0
63	untuniutntrng55886	1.0487277431624062	1	1000/1	1000.0
64	untuniutntrng55886	1.0484521573489114	1	1000/1	1000.0
65	untuniutntrng55886	1.0494570820951672	1	1000/1	1000.0
66	untuniutntrng55886	1.0487581978110831	1	1000/1	1000.0
67	untuniutntrng55886	1.0487562057741124	1	1000/1	1000.0
68	untuniutntrng55886	1.0485470004240542	1	1000/1	1000.0
