	LLR_words	LLR	LLR_rang	frequency
0	untuniutntrng55886	10.447025657967098	73	20
1	untuniutntrng55886	10.447025657967098	69	20
2	untuniutntrng55886	10.447025657967098	52	20
3	untuniutntrng55886	10.447025657967098	58	20
4	untuniutntrng55886	10.447025657967098	61	20
5	untuniutntrng55886	10.447025657967098	46	20
6	untuniutntrng55886	10.447025657967098	53	20
7	untuniutntrng55886	10.447025657967098	48	20
8	untuniutntrng55886	10.447025657967098	62	20
9	untuniutntrng55886	10.447025657967098	70	20
10	untuniutntrng55886	10.447025657967098	67	20
11	untuniutntrng55886	10.447025657967098	57	20
12	untuniutntrng55886	10.447025657967098	48	20
13	untuniutntrng55886	10.447025657967098	60	20
14	untuniutntrng55886	10.447025657967098	54	20
15	untuniutntrng55886	10.447025657967098	68	20
16	untuniutntrng55886	10.447025657967098	68	20
17	untuniutntrng55886	10.447025657967098	58	20
18	untuniutntrng55886	10.447025657967098	57	20
19	untuniutntrng55886	10.447025657967098	59	20
20	untuniutntrng55886	10.447025657967098	55	20
21	untuniutntrng55886	10.447025657967098	67	20
22	untuniutntrng55886	10.447025657967098	58	20
23	untuniutntrng55886	10.447025657967098	49	20
24	untuniutntrng55886	10.447025657967098	56	20
25	untuniutntrng55886	10.447025657967098	47	20
26	untuniutntrng55886	10.447025657967098	61	20
27	untuniutntrng55886	10.447025657967098	55	20
28	untuniutntrng55886	10.447025657967098	65	20
29	untuniutntrng55886	10.447025657967098	63	20
30	untuniutntrng55886	10.447025657967098	61	20
31	untuniutntrng55886	10.447025657967098	57	20
32	untuniutntrng55886	10.447025657967098	47	20
33	untuniutntrng55886	10.447025657967098	54	20
34	untuniutntrng55886	10.447025657967098	64	20
35	untuniutntrng55886	10.447025657967098	60	20
36	untuniutntrng55886	10.447025657967098	54	20
37	untuniutntrng55886	10.447025657967098	64	20
38	untuniutntrng55886	10.447025657967098	49	20
39	untuniutntrng55886	10.447025657967098	51	20
40	untuniutntrng55886	10.447025657967098	67	20
41	untuniutntrng55886	10.447025657967098	67	20
42	untuniutntrng55886	10.447025657967098	45	20
43	untuniutntrng55886	10.447025657967098	54	20
44	untuniutntrng55886	10.447025657967098	61	20
45	untuniutntrng55886	10.447025657967098	70	20
46	untuniutntrng55886	10.447025657967098	46	20
47	untuniutntrng55886	10.447025657967098	54	20
48	untuniutntrng55886	10.447025657967098	66	20
49	untuniutntrng55886	10.447025657967098	58	20
50	untuniutntrng55886	10.447025657967098	69	20
51	untuniutntrng55886	10.447025657967098	54	20
52	untuniutntrng55886	10.447025657967098	50	20
53	untuniutntrng55886	10.447025657967098	55	20
54	untuniutntrng55886	10.447025657967098	50	20
55	untuniutntrng55886	10.447025657967098	61	20
56	untuniutntrng55886	10.447025657967098	47	20
57	untuniutntrng55886	10.447025657967098	40	20
58	untuniutntrng55886	10.447025657967098	50	20
59	untuniutntrng55886	10.447025657967098	69	20
60	untuniutntrng55886	10.447025657967098	59	20
61	untuniutntrng55886	10.447025657967098	49	20
62	untuniutntrng55886	10.447025657967098	58	20
63	untuniutntrng55886	10.447025657967098	54	20
64	untuniutntrng55886	10.447025657967098	63	20
65	untuniutntrng55886	10.447025657967098	61	20
66	untuniutntrng55886	10.447025657967098	44	20
67	untuniutntrng55886	10.447025657967098	63	20
68	untuniutntrng55886	10.447025657967098	71	20
69	untuniutntrng55886	10.447025657967098	57	20
70	untuniutntrng55886	10.447025657967098	62	20
71	untuniutntrng55886	10.447025657967098	63	20
72	untuniutntrng55886	10.447025657967098	50	20
73	untuniutntrng55886	10.447025657967098	66	20
74	untuniutntrng55886	10.447025657967098	58	20
75	untuniutntrng55886	10.447025657967098	59	20
76	untuniutntrng55886	10.447025657967098	74	20
77	untuniutntrng55886	10.447025657967098	49	20
78	untuniutntrng55886	10.447025657967098	76	20
79	untuniutntrng55886	10.447025657967098	75	20
80	untuniutntrng55886	10.447025657967098	65	20
81	untuniutntrng55886	10.447025657967098	63	20
82	untuniutntrng55886	10.447025657967098	59	20
83	untuniutntrng55886	10.447025657967098	65	20
84	untuniutntrng55886	10.447025657967098	70	20
85	untuniutntrng55886	10.447025657967098	62	20
86	untuniutntrng55886	10.447025657967098	53	20
