	ranksum_words	ranksum	ranksum_rang	frequency
0	untuniutntrng55886	0.036661764010707976	22097	1000
1	untuniutntrng55886	0.036661764010707976	22013	1000
2	untuniutntrng55886	0.036661764010707976	22135	1000
3	untuniutntrng55886	0.036661764010707976	22204	1000
4	untuniutntrng55886	0.036661764010707976	22192	1000
5	untuniutntrng55886	0.036661764010707976	22054	1000
6	untuniutntrng55886	0.036661764010707976	21935	1000
7	untuniutntrng55886	0.036661764010707976	22131	1000
8	untuniutntrng55886	0.036661764010707976	21911	1000
9	untuniutntrng55886	0.036661764010707976	22112	1000
10	untuniutntrng55886	0.036661764010707976	21997	1000
11	untuniutntrng55886	0.036661764010707976	22006	1000
12	untuniutntrng55886	0.036661764010707976	22133	1000
13	untuniutntrng55886	0.036661764010707976	22246	1000
14	untuniutntrng55886	0.036661764010707976	22175	1000
15	untuniutntrng55886	0.036661764010707976	22127	1000
16	untuniutntrng55886	0.036661764010707976	22172	1000
17	untuniutntrng55886	0.036661764010707976	22062	1000
18	untuniutntrng55886	0.036661764010707976	22121	1000
19	untuniutntrng55886	0.036661764010707976	21980	1000
20	untuniutntrng55886	0.036661764010707976	22121	1000
21	untuniutntrng55886	0.036661764010707976	22028	1000
22	untuniutntrng55886	0.036661764010707976	22129	1000
23	untuniutntrng55886	0.036661764010707976	22120	1000
24	untuniutntrng55886	0.036661764010707976	22168	1000
25	untuniutntrng55886	0.036661764010707976	22090	1000
26	untuniutntrng55886	0.036661764010707976	22181	1000
27	untuniutntrng55886	0.036661764010707976	22204	1000
28	untuniutntrng55886	0.036661764010707976	22198	1000
29	untuniutntrng55886	0.036661764010707976	22140	1000
30	untuniutntrng55886	0.036661764010707976	22120	1000
31	untuniutntrng55886	0.036661764010707976	22127	1000
32	untuniutntrng55886	0.036661764010707976	21986	1000
33	untuniutntrng55886	0.036661764010707976	22020	1000
34	untuniutntrng55886	0.036661764010707976	22149	1000
35	untuniutntrng55886	0.036661764010707976	22168	1000
36	untuniutntrng55886	0.036661764010707976	22107	1000
37	untuniutntrng55886	0.036661764010707976	22058	1000
38	untuniutntrng55886	0.036661764010707976	22006	1000
39	untuniutntrng55886	0.036661764010707976	22056	1000
40	untuniutntrng55886	0.036661764010707976	22088	1000
41	untuniutntrng55886	0.036661764010707976	22221	1000
42	untuniutntrng55886	0.036661764010707976	22153	1000
43	untuniutntrng55886	0.036661764010707976	22240	1000
44	untuniutntrng55886	0.036661764010707976	22036	1000
45	untuniutntrng55886	0.036661764010707976	22016	1000
46	untuniutntrng55886	0.036661764010707976	22129	1000
47	untuniutntrng55886	0.036661764010707976	22041	1000
48	untuniutntrng55886	0.036661764010707976	22084	1000
49	untuniutntrng55886	0.036661764010707976	22004	1000
50	untuniutntrng55886	0.036661764010707976	22258	1000
