	eta_sg0_words	eta_sg0	eta_sg0_rang	frequency
0	untuniutntrng55886	0.0008960559048718508	34847	1000
1	untuniutntrng55886	0.000896055904871962	34246	1000
2	untuniutntrng55886	0.0008960559048718508	34919	1000
3	untuniutntrng55886	0.0008960559048718508	34851	1000
4	untuniutntrng55886	0.0008960559048716287	36153	1000
5	untuniutntrng55886	0.0008960559048718508	34597	1000
6	untuniutntrng55886	0.0008960559048721838	33855	1000
7	untuniutntrng55886	0.0008960559048721838	33720	1000
8	untuniutntrng55886	0.0008960559048720729	33840	1000
9	untuniutntrng55886	0.0008960559048718508	34848	1000
10	untuniutntrng55886	0.0008960559048721838	33732	1000
11	untuniutntrng55886	0.0008960559048718508	34791	1000
12	untuniutntrng55886	0.0008960559048721838	33526	1000
13	untuniutntrng55886	0.0008960559048718508	34669	1000
14	untuniutntrng55886	0.0008960559048717398	35584	1000
15	untuniutntrng55886	0.0008960559048718508	34715	1000
16	untuniutntrng55886	0.0008960559048718508	34655	1000
17	untuniutntrng55886	0.0008960559048716287	36040	1000
18	untuniutntrng55886	0.0008960559048720729	33593	1000
19	untuniutntrng55886	0.0008960559048720729	34021	1000
20	untuniutntrng55886	0.0008960559048720729	33851	1000
21	untuniutntrng55886	0.0008960559048716287	36225	1000
22	untuniutntrng55886	0.0008960559048718508	34875	1000
23	untuniutntrng55886	0.0008960559048717398	35430	1000
24	untuniutntrng55886	0.0008960559048717398	35332	1000
25	untuniutntrng55886	0.0008960559048720729	33945	1000
26	untuniutntrng55886	0.0008960559048718508	34812	1000
27	untuniutntrng55886	0.000896055904871962	34173	1000
28	untuniutntrng55886	0.0008960559048718508	34702	1000
29	untuniutntrng55886	0.0008960559048717398	35490	1000
30	untuniutntrng55886	0.0008960559048720729	33904	1000
31	untuniutntrng55886	0.000896055904871962	34285	1000
32	untuniutntrng55886	0.0008960559048718508	34509	1000
33	untuniutntrng55886	0.0008960559048720729	34061	1000
34	untuniutntrng55886	0.0008960559048716287	36275	1000
35	untuniutntrng55886	0.0008960559048721838	34089	1000
36	untuniutntrng55886	0.0008960559048718508	34902	1000
37	untuniutntrng55886	0.0008960559048721838	33510	1000
38	untuniutntrng55886	0.0008960559048721838	33688	1000
39	untuniutntrng55886	0.0008960559048718508	34688	1000
40	untuniutntrng55886	0.0008960559048720729	34212	1000
41	untuniutntrng55886	0.0008960559048718508	34885	1000
42	untuniutntrng55886	0.0008960559048720729	33942	1000
43	untuniutntrng55886	0.0008960559048720729	33728	1000
44	untuniutntrng55886	0.0008960559048716287	36108	1000
45	untuniutntrng55886	0.0008960559048718508	35090	1000
46	untuniutntrng55886	0.0008960559048721838	33955	1000
47	untuniutntrng55886	0.000896055904871962	34050	1000
48	untuniutntrng55886	0.0008960559048718508	34716	1000
49	untuniutntrng55886	0.0008960559048718508	34526	1000
50	untuniutntrng55886	0.0008960559048716287	36269	1000
51	untuniutntrng55886	0.0008960559048718508	34740	1000
52	untuniutntrng55886	0.0008960559048718508	34627	1000
53	untuniutntrng55886	0.0008960559048720729	33730	1000
54	untuniutntrng55886	0.0008960559048718508	34855	1000
55	untuniutntrng55886	0.0008960559048720729	33690	1000
56	untuniutntrng55886	0.0008960559048718508	34685	1000
57	untuniutntrng55886	0.0008960559048718508	34764	1000
58	untuniutntrng55886	0.0008960559048716287	36240	1000
59	untuniutntrng55886	0.0008960559048718508	34886	1000
60	untuniutntrng55886	0.0008960559048718508	34732	1000
61	untuniutntrng55886	0.0008960559048718508	34651	1000
62	untuniutntrng55886	0.0008960559048718508	34953	1000
63	untuniutntrng55886	0.0008960559048716287	35909	1000
64	untuniutntrng55886	0.000896055904871962	34466	1000
65	untuniutntrng55886	0.0008960559048718508	34594	1000
66	untuniutntrng55886	0.0008960559048721838	33764	1000
67	untuniutntrng55886	0.0008960559048718508	34825	1000
68	untuniutntrng55886	0.0008960559048720729	33950	1000
69	untuniutntrng55886	0.0008960559048721838	34090	1000
70	untuniutntrng55886	0.0008960559048718508	34684	1000
71	untuniutntrng55886	0.0008960559048718508	34964	1000
72	untuniutntrng55886	0.0008960559048716287	36077	1000
73	untuniutntrng55886	0.0008960559048720729	33716	1000
74	untuniutntrng55886	0.0008960559048718508	34772	1000
75	untuniutntrng55886	0.0008960559048718508	34973	1000
76	untuniutntrng55886	0.0008960559048716287	36228	1000
77	untuniutntrng55886	0.0008960559048718508	34934	1000
78	untuniutntrng55886	0.0008960559048718508	34775	1000
79	untuniutntrng55886	0.0008960559048716287	36232	1000
