	rrf_dr0_words	rrf_dr0	rrf_dr0_rang	frequency
0	untuniutntrng55886	10.990134529147982	6	100
1	untuniutntrng55886	10.990134529147982	8	100
2	untuniutntrng55886	10.990134529147982	7	100
3	untuniutntrng55886	10.990134529147982	7	100
4	untuniutntrng55886	10.990134529147982	7	100
5	untuniutntrng55886	10.990134529147982	8	100
6	untuniutntrng55886	10.990134529147982	2	100
7	untuniutntrng55886	10.990134529147982	3	100
8	untuniutntrng55886	10.990134529147982	9	100
9	untuniutntrng55886	10.990134529147982	3	100
10	untuniutntrng55886	10.990134529147982	4	100
11	untuniutntrng55886	10.990134529147982	9	100
12	untuniutntrng55886	10.990134529147982	4	100
13	untuniutntrng55886	10.990134529147982	8	100
14	untuniutntrng55886	10.990134529147982	5	100
15	untuniutntrng55886	10.990134529147982	6	100
16	untuniutntrng55886	10.990134529147982	5	100
17	untuniutntrng55886	10.990134529147982	7	100
18	untuniutntrng55886	10.990134529147982	8	100
19	untuniutntrng55886	10.990134529147982	7	100
20	untuniutntrng55886	10.990134529147982	10	100
21	untuniutntrng55886	10.990134529147982	9	100
22	untuniutntrng55886	10.990134529147982	8	100
23	untuniutntrng55886	10.990134529147982	7	100
24	untuniutntrng55886	10.990134529147982	7	100
25	untuniutntrng55886	10.990134529147982	6	100
26	untuniutntrng55886	10.990134529147982	9	100
27	untuniutntrng55886	10.990134529147982	11	100
28	untuniutntrng55886	10.990134529147982	9	100
29	untuniutntrng55886	10.990134529147982	5	100
30	untuniutntrng55886	10.990134529147982	9	100
31	untuniutntrng55886	10.990134529147982	11	100
32	untuniutntrng55886	10.990134529147982	11	100
33	untuniutntrng55886	10.990134529147982	7	100
34	untuniutntrng55886	10.990134529147982	15	100
35	untuniutntrng55886	10.990134529147982	8	100
36	untuniutntrng55886	10.990134529147982	6	100
37	untuniutntrng55886	10.990134529147982	5	100
38	untuniutntrng55886	10.990134529147982	9	100
39	untuniutntrng55886	10.990134529147982	10	100
40	untuniutntrng55886	10.990134529147982	5	100
41	untuniutntrng55886	10.990134529147982	7	100
42	untuniutntrng55886	10.990134529147982	9	100
43	untuniutntrng55886	10.990134529147982	9	100
44	untuniutntrng55886	10.990134529147982	6	100
45	untuniutntrng55886	10.990134529147982	6	100
46	untuniutntrng55886	10.990134529147982	9	100
47	untuniutntrng55886	10.990134529147982	6	100
48	untuniutntrng55886	10.990134529147982	7	100
49	untuniutntrng55886	10.990134529147982	7	100
50	untuniutntrng55886	10.990134529147982	6	100
51	untuniutntrng55886	10.990134529147982	3	100
52	untuniutntrng55886	10.990134529147982	12	100
53	untuniutntrng55886	10.990134529147982	6	100
54	untuniutntrng55886	10.990134529147982	8	100
55	untuniutntrng55886	10.990134529147982	11	100
56	untuniutntrng55886	10.990134529147982	8	100
57	untuniutntrng55886	10.990134529147982	7	100
58	untuniutntrng55886	10.990134529147982	10	100
59	untuniutntrng55886	10.990134529147982	3	100
60	untuniutntrng55886	10.990134529147982	7	100
61	untuniutntrng55886	10.990134529147982	6	100
62	untuniutntrng55886	10.990134529147982	3	100
63	untuniutntrng55886	10.990134529147982	6	100
64	untuniutntrng55886	10.990134529147982	2	100
65	untuniutntrng55886	10.990134529147982	7	100
66	untuniutntrng55886	10.990134529147982	6	100
67	untuniutntrng55886	10.990134529147982	9	100
68	untuniutntrng55886	10.990134529147982	8	100
69	untuniutntrng55886	10.990134529147982	10	100
70	untuniutntrng55886	10.990134529147982	8	100
71	untuniutntrng55886	10.990134529147982	7	100
72	untuniutntrng55886	10.990134529147982	12	100
73	untuniutntrng55886	10.990134529147982	9	100
74	untuniutntrng55886	10.990134529147982	4	100
75	untuniutntrng55886	10.990134529147982	6	100
76	untuniutntrng55886	10.990134529147982	6	100
77	untuniutntrng55886	10.990134529147982	10	100
78	untuniutntrng55886	10.990134529147982	6	100
79	untuniutntrng55886	10.990134529147982	4	100
80	untuniutntrng55886	10.990134529147982	3	100
81	untuniutntrng55886	10.990134529147982	8	100
82	untuniutntrng55886	10.990134529147982	6	100
83	untuniutntrng55886	10.990134529147982	6	100
84	untuniutntrng55886	10.990134529147982	4	100
85	untuniutntrng55886	10.990134529147982	4	100
86	untuniutntrng55886	10.990134529147982	8	100
87	untuniutntrng55886	10.990134529147982	9	100
88	untuniutntrng55886	10.990134529147982	5	100
89	untuniutntrng55886	10.990134529147982	7	100
90	untuniutntrng55886	10.990134529147982	8	100
91	untuniutntrng55886	10.990134529147982	8	100
92	untuniutntrng55886	10.990134529147982	6	100
93	untuniutntrng55886	10.990134529147982	6	100
94	untuniutntrng55886	10.990134529147982	12	100
95	untuniutntrng55886	10.990134529147982	4	100
96	untuniutntrng55886	10.990134529147982	5	100
97	untuniutntrng55886	10.990134529147982	8	100
98	untuniutntrng55886	10.990134529147982	9	100
99	untuniutntrng55886	10.990134529147982	8	100
100	untuniutntrng55886	20.981165919282514	1	200
101	untuniutntrng55886	20.981165919282514	1	200
102	untuniutntrng55886	20.981165919282514	1	200
103	untuniutntrng55886	20.981165919282514	1	200
104	untuniutntrng55886	20.981165919282514	1	200
105	untuniutntrng55886	20.981165919282514	1	200
106	untuniutntrng55886	20.981165919282514	1	200
107	untuniutntrng55886	20.981165919282514	1	200
108	untuniutntrng55886	20.981165919282514	1	200
109	untuniutntrng55886	20.981165919282514	1	200
110	untuniutntrng55886	20.981165919282514	1	200
111	untuniutntrng55886	20.981165919282514	1	200
112	untuniutntrng55886	20.981165919282514	1	200
113	untuniutntrng55886	20.981165919282514	1	200
114	untuniutntrng55886	20.981165919282514	1	200
115	untuniutntrng55886	20.981165919282514	1	200
116	untuniutntrng55886	20.981165919282514	1	200
117	untuniutntrng55886	20.981165919282514	1	200
