	welsh_words	welsh	welsh_rang	frequency
0	untuniutntrng55886	0.9998999234614002	26099	1000
1	untuniutntrng55886	0.9998999234614004	26055	1000
2	untuniutntrng55886	0.9998999234614004	26120	1000
3	untuniutntrng55886	0.9998999234614004	26222	1000
4	untuniutntrng55886	0.9998999234614004	26136	1000
5	untuniutntrng55886	0.9998999234614004	26178	1000
6	untuniutntrng55886	0.9998999234614004	25964	1000
7	untuniutntrng55886	0.9998999234614004	26162	1000
8	untuniutntrng55886	0.9998999234614004	25938	1000
9	untuniutntrng55886	0.9998999234614004	26094	1000
10	untuniutntrng55886	0.9998999234614004	26038	1000
11	untuniutntrng55886	0.9998999234614004	26006	1000
12	untuniutntrng55886	0.9998999234614004	26411	1000
13	untuniutntrng55886	0.9998999234614004	26411	1000
14	untuniutntrng55886	0.9998999234614004	26251	1000
15	untuniutntrng55886	0.9998999234614004	26106	1000
16	untuniutntrng55886	0.9998999234614004	26339	1000
17	untuniutntrng55886	0.9998999234614004	26033	1000
18	untuniutntrng55886	0.9998999234614004	26166	1000
19	untuniutntrng55886	0.9998999234614004	25962	1000
20	untuniutntrng55886	0.9998999234614004	26142	1000
21	untuniutntrng55886	0.9998999234614004	26062	1000
22	untuniutntrng55886	0.9998999234614002	25934	1000
23	untuniutntrng55886	0.9998999234614004	26155	1000
24	untuniutntrng55886	0.9998999234614004	26252	1000
25	untuniutntrng55886	0.9998999234614004	26055	1000
26	untuniutntrng55886	0.9998999234614004	26211	1000
27	untuniutntrng55886	0.9998999234614004	26292	1000
28	untuniutntrng55886	0.9998999234614004	26259	1000
29	untuniutntrng55886	0.9998999234614004	26176	1000
30	untuniutntrng55886	0.9998999234614004	26127	1000
31	untuniutntrng55886	0.9998999234614004	26247	1000
32	untuniutntrng55886	0.9998999234614004	26074	1000
33	untuniutntrng55886	0.9998999234614004	26007	1000
34	untuniutntrng55886	0.9998999234614004	26126	1000
35	untuniutntrng55886	0.9998999234614004	26142	1000
36	untuniutntrng55886	0.9998999234614002	26198	1000
37	untuniutntrng55886	0.9998999234614004	26127	1000
38	untuniutntrng55886	0.9998999234614004	26024	1000
39	untuniutntrng55886	0.9998999234614004	26173	1000
40	untuniutntrng55886	0.9998999234614004	26052	1000
41	untuniutntrng55886	0.9998999234614002	26235	1000
42	untuniutntrng55886	0.9998999234614004	26115	1000
43	untuniutntrng55886	0.9998999234614004	26241	1000
44	untuniutntrng55886	0.9998999234614004	26022	1000
45	untuniutntrng55886	0.9998999234614004	25837	1000
46	untuniutntrng55886	0.9998999234614004	26132	1000
47	untuniutntrng55886	0.9998999234614004	26146	1000
48	untuniutntrng55886	0.9998999234614002	26165	1000
49	untuniutntrng55886	0.9998999234614004	26167	1000
50	untuniutntrng55886	0.9998999234614004	26228	1000
51	untuniutntrng55886	0.9998999234614004	26293	1000
52	untuniutntrng55886	0.9998999234614004	26214	1000
53	untuniutntrng55886	0.9998999234614004	25995	1000
54	untuniutntrng55886	0.9998999234614004	26058	1000
55	untuniutntrng55886	0.9998999234614004	26437	1000
56	untuniutntrng55886	0.9998999234614004	26096	1000
57	untuniutntrng55886	0.9998999234614004	26465	1000
58	untuniutntrng55886	0.9998999234614004	26046	1000
59	untuniutntrng55886	0.9998999234614004	26074	1000
60	untuniutntrng55886	0.9998999234614004	26260	1000
61	untuniutntrng55886	0.9998999234614004	26201	1000
62	untuniutntrng55886	0.9998999234614004	26129	1000
63	untuniutntrng55886	0.9998999234614004	26103	1000
64	untuniutntrng55886	0.9998999234614004	26202	1000
65	untuniutntrng55886	0.9998999234614004	26139	1000
66	untuniutntrng55886	0.9998999234614004	26134	1000
67	untuniutntrng55886	0.9998999234614002	26220	1000
68	untuniutntrng55886	0.9998999234614004	26025	1000
69	untuniutntrng55886	0.9998999234614004	26079	1000
70	untuniutntrng55886	0.9998999234614004	26247	1000
71	untuniutntrng55886	0.9998999234614004	26239	1000
72	untuniutntrng55886	0.9998999234614004	25934	1000
73	untuniutntrng55886	0.9998999234614004	26233	1000
74	untuniutntrng55886	0.9998999234614004	26185	1000
75	untuniutntrng55886	0.9998999234614004	26014	1000
76	untuniutntrng55886	0.9998999234614004	26237	1000
77	untuniutntrng55886	0.9998999234614004	26258	1000
78	untuniutntrng55886	0.9998999234614004	26295	1000
79	untuniutntrng55886	0.9998999234614004	26247	1000
80	untuniutntrng55886	0.9998999234614004	26113	1000
81	untuniutntrng55886	0.9998999234614004	25992	1000
