	chi_square_words	chi_square	chi_square_rang	frequency
0	untuniutntrng55886	979.4952959551275	1	1000
1	untuniutntrng55886	979.4952959551275	1	1000
2	untuniutntrng55886	979.4952959551275	1	1000
3	untuniutntrng55886	979.4952959551275	1	1000
4	untuniutntrng55886	979.4952959551275	1	1000
5	untuniutntrng55886	979.4952959551275	1	1000
6	untuniutntrng55886	979.4952959551275	1	1000
7	untuniutntrng55886	979.4952959551275	1	1000
8	untuniutntrng55886	979.4952959551275	1	1000
9	untuniutntrng55886	979.4952959551275	1	1000
10	untuniutntrng55886	979.4952959551275	1	1000
11	untuniutntrng55886	979.4952959551275	1	1000
12	untuniutntrng55886	979.4952959551275	1	1000
13	untuniutntrng55886	979.4952959551275	1	1000
14	untuniutntrng55886	979.4952959551275	1	1000
15	untuniutntrng55886	979.4952959551275	1	1000
16	untuniutntrng55886	979.4952959551275	1	1000
17	untuniutntrng55886	979.4952959551275	1	1000
18	untuniutntrng55886	979.4952959551275	1	1000
19	untuniutntrng55886	979.4952959551275	1	1000
20	untuniutntrng55886	979.4952959551275	1	1000
21	untuniutntrng55886	979.4952959551275	1	1000
22	untuniutntrng55886	979.4952959551275	1	1000
23	untuniutntrng55886	979.4952959551275	1	1000
24	untuniutntrng55886	979.4952959551275	1	1000
25	untuniutntrng55886	979.4952959551275	1	1000
26	untuniutntrng55886	979.4952959551275	1	1000
27	untuniutntrng55886	979.4952959551275	1	1000
28	untuniutntrng55886	979.4952959551275	1	1000
29	untuniutntrng55886	979.4952959551275	1	1000
30	untuniutntrng55886	979.4952959551275	1	1000
31	untuniutntrng55886	979.4952959551275	1	1000
32	untuniutntrng55886	979.4952959551275	1	1000
33	untuniutntrng55886	979.4952959551275	1	1000
34	untuniutntrng55886	979.4952959551275	1	1000
35	untuniutntrng55886	979.4952959551275	1	1000
36	untuniutntrng55886	979.4952959551275	1	1000
37	untuniutntrng55886	979.4952959551275	1	1000
38	untuniutntrng55886	979.4952959551275	1	1000
39	untuniutntrng55886	979.4952959551275	1	1000
40	untuniutntrng55886	979.4952959551275	1	1000
41	untuniutntrng55886	979.4952959551275	1	1000
42	untuniutntrng55886	979.4952959551275	1	1000
43	untuniutntrng55886	979.4952959551275	1	1000
44	untuniutntrng55886	979.4952959551275	1	1000
45	untuniutntrng55886	979.4952959551275	1	1000
46	untuniutntrng55886	979.4952959551275	1	1000
47	untuniutntrng55886	979.4952959551275	1	1000
48	untuniutntrng55886	979.4952959551275	1	1000
49	untuniutntrng55886	979.4952959551275	1	1000
50	untuniutntrng55886	979.4952959551275	1	1000
51	untuniutntrng55886	979.4952959551275	1	1000
52	untuniutntrng55886	979.4952959551275	1	1000
53	untuniutntrng55886	979.4952959551275	1	1000
54	untuniutntrng55886	979.4952959551275	1	1000
55	untuniutntrng55886	979.4952959551275	1	1000
56	untuniutntrng55886	979.4952959551275	1	1000
57	untuniutntrng55886	979.4952959551275	1	1000
58	untuniutntrng55886	979.4952959551275	1	1000
59	untuniutntrng55886	979.4952959551275	1	1000
60	untuniutntrng55886	979.4952959551275	1	1000
61	untuniutntrng55886	979.4952959551275	1	1000
