	zeta_sd2_words	zeta_sd2	zeta_sd2_rang	frequency
0	untuniutntrng55886	0.0011737781231141164	35618	1000
1	untuniutntrng55886	0.0011737781231141164	34082	1000
2	untuniutntrng55886	0.0011737781231141164	35550	1000
3	untuniutntrng55886	0.0011737781231141164	34978	1000
4	untuniutntrng55886	0.0011737781231141164	33915	1000
5	untuniutntrng55886	0.0011737781231141164	35789	1000
6	untuniutntrng55886	0.0011737781231141164	34391	1000
7	untuniutntrng55886	0.0011737781231141164	36370	1000
8	untuniutntrng55886	0.0011737781231141164	35189	1000
9	untuniutntrng55886	0.0011737781231141164	35637	1000
10	untuniutntrng55886	0.0011737781231141164	35973	1000
11	untuniutntrng55886	0.0011737781231141164	35069	1000
12	untuniutntrng55886	0.0011737781231141164	33903	1000
13	untuniutntrng55886	0.0011737781231141164	35012	1000
14	untuniutntrng55886	0.0011737781231141164	35013	1000
15	untuniutntrng55886	0.0011737781231141164	36435	1000
16	untuniutntrng55886	0.0011737781231141164	35031	1000
17	untuniutntrng55886	0.0011737781231141164	35075	1000
18	untuniutntrng55886	0.0011737781231141164	35663	1000
19	untuniutntrng55886	0.0011737781231141164	35605	1000
20	untuniutntrng55886	0.0011737781231141164	34946	1000
21	untuniutntrng55886	0.0011737781231141164	36599	1000
22	untuniutntrng55886	0.0011737781231141164	35506	1000
23	untuniutntrng55886	0.0011737781231141164	34227	1000
24	untuniutntrng55886	0.0011737781231141164	35908	1000
25	untuniutntrng55886	0.0011737781231141164	35512	1000
26	untuniutntrng55886	0.0011737781231141164	34768	1000
27	untuniutntrng55886	0.0011737781231141164	34005	1000
28	untuniutntrng55886	0.0011737781231141164	36360	1000
29	untuniutntrng55886	0.0011737781231141164	35937	1000
30	untuniutntrng55886	0.0011737781231141164	35330	1000
31	untuniutntrng55886	0.0011737781231141164	35860	1000
32	untuniutntrng55886	0.0011737781231141164	34770	1000
33	untuniutntrng55886	0.0011737781231141164	35482	1000
