	zeta_sd0_words	zeta_sd0	zeta_sd0_rang	frequency
0	untuniutntrng55886	0.0008960559048715492	33781	1000
1	untuniutntrng55886	0.0008960559048715492	35095	1000
2	untuniutntrng55886	0.0008960559048715492	33855	1000
3	untuniutntrng55886	0.0008960559048715492	35971	1000
4	untuniutntrng55886	0.0008960559048715492	35804	1000
5	untuniutntrng55886	0.0008960559048715492	33964	1000
6	untuniutntrng55886	0.0008960559048715492	36288	1000
7	untuniutntrng55886	0.0008960559048715492	34728	1000
8	untuniutntrng55886	0.0008960559048715492	34034	1000
9	untuniutntrng55886	0.0008960559048715492	33960	1000
10	untuniutntrng55886	0.0008960559048715492	34926	1000
11	untuniutntrng55886	0.0008960559048715492	36053	1000
12	untuniutntrng55886	0.0008960559048715492	35794	1000
13	untuniutntrng55886	0.0008960559048715492	36748	1000
14	untuniutntrng55886	0.0008960559048715492	36237	1000
15	untuniutntrng55886	0.0008960559048715492	34799	1000
16	untuniutntrng55886	0.0008960559048715492	36173	1000
17	untuniutntrng55886	0.0008960559048715492	36171	1000
18	untuniutntrng55886	0.0008960559048715492	34029	1000
19	untuniutntrng55886	0.0008960559048715492	33896	1000
20	untuniutntrng55886	0.0008960559048715492	36099	1000
21	untuniutntrng55886	0.0008960559048715492	34701	1000
22	untuniutntrng55886	0.0008960559048715492	33823	1000
23	untuniutntrng55886	0.0008960559048715492	35420	1000
24	untuniutntrng55886	0.0008960559048715492	34223	1000
25	untuniutntrng55886	0.0008960559048715492	33861	1000
26	untuniutntrng55886	0.0008960559048715492	36640	1000
27	untuniutntrng55886	0.0008960559048715492	35837	1000
28	untuniutntrng55886	0.0008960559048715492	35180	1000
29	untuniutntrng55886	0.0008960559048715492	34072	1000
30	untuniutntrng55886	0.0008960559048715492	34163	1000
31	untuniutntrng55886	0.0008960559048715492	34049	1000
32	untuniutntrng55886	0.0008960559048715492	36190	1000
33	untuniutntrng55886	0.0008960559048715492	33845	1000
34	untuniutntrng55886	0.0008960559048715492	34192	1000
35	untuniutntrng55886	0.0008960559048715492	33899	1000
36	untuniutntrng55886	0.0008960559048715492	36493	1000
37	untuniutntrng55886	0.0008960559048715492	34556	1000
38	untuniutntrng55886	0.0008960559048715492	33918	1000
39	untuniutntrng55886	0.0008960559048715492	34461	1000
