	tf_idf_words	tf_idf	tf_idf_rang	frequency
0	untuniutntrng55886	0.03836304844511505	1051	1000
1	untuniutntrng55886	0.03836304844511505	1085	1000
2	untuniutntrng55886	0.03836304844511505	1097	1000
3	untuniutntrng55886	0.03836304844511505	1073	1000
4	untuniutntrng55886	0.03836304844511505	1009	1000
5	untuniutntrng55886	0.03836304844511505	1089	1000
6	untuniutntrng55886	0.03836304844511505	1101	1000
7	untuniutntrng55886	0.03836304844511505	1115	1000
8	untuniutntrng55886	0.03836304844511505	1091	1000
9	untuniutntrng55886	0.03836304844511505	1092	1000
10	untuniutntrng55886	0.03836304844511505	1099	1000
11	untuniutntrng55886	0.03836304844511505	1088	1000
12	untuniutntrng55886	0.03836304844511505	1149	1000
13	untuniutntrng55886	0.03836304844511505	1012	1000
14	untuniutntrng55886	0.03836304844511505	1090	1000
15	untuniutntrng55886	0.03836304844511505	1024	1000
16	untuniutntrng55886	0.03836304844511505	1081	1000
17	untuniutntrng55886	0.03836304844511505	1117	1000
18	untuniutntrng55886	0.03836304844511505	1093	1000
19	untuniutntrng55886	0.03836304844511505	1093	1000
20	untuniutntrng55886	0.03836304844511505	1097	1000
21	untuniutntrng55886	0.03836304844511505	1104	1000
22	untuniutntrng55886	0.03836304844511505	1047	1000
23	untuniutntrng55886	0.03836304844511505	1107	1000
24	untuniutntrng55886	0.03836304844511505	1092	1000
25	untuniutntrng55886	0.03836304844511505	1087	1000
26	untuniutntrng55886	0.03836304844511505	1042	1000
27	untuniutntrng55886	0.03836304844511505	1059	1000
28	untuniutntrng55886	0.03836304844511505	1054	1000
29	untuniutntrng55886	0.03836304844511505	1019	1000
30	untuniutntrng55886	0.03836304844511505	1091	1000
31	untuniutntrng55886	0.03836304844511505	1089	1000
32	untuniutntrng55886	0.03836304844511505	1103	1000
33	untuniutntrng55886	0.03836304844511505	1104	1000
34	untuniutntrng55886	0.03836304844511505	1084	1000
35	untuniutntrng55886	0.03836304844511505	1078	1000
36	untuniutntrng55886	0.03836304844511505	1056	1000
37	untuniutntrng55886	0.03836304844511505	1070	1000
38	untuniutntrng55886	0.03836304844511505	1034	1000
39	untuniutntrng55886	0.03836304844511505	1104	1000
40	untuniutntrng55886	0.03836304844511505	1073	1000
41	untuniutntrng55886	0.03836304844511505	1033	1000
42	untuniutntrng55886	0.03836304844511505	1050	1000
43	untuniutntrng55886	0.03836304844511505	1064	1000
44	untuniutntrng55886	0.03836304844511505	1050	1000
45	untuniutntrng55886	0.03836304844511505	1095	1000
46	untuniutntrng55886	0.03836304844511505	1045	1000
47	untuniutntrng55886	0.03836304844511505	1106	1000
48	untuniutntrng55886	0.03836304844511505	1063	1000
49	untuniutntrng55886	0.03836304844511505	1036	1000
50	untuniutntrng55886	0.03836304844511505	1044	1000
51	untuniutntrng55886	0.03836304844511505	1088	1000
52	untuniutntrng55886	0.03836304844511505	1082	1000
53	untuniutntrng55886	0.03836304844511505	1104	1000
54	untuniutntrng55886	0.03836304844511505	1087	1000
55	untuniutntrng55886	0.03836304844511505	1090	1000
56	untuniutntrng55886	0.03836304844511505	1078	1000
57	untuniutntrng55886	0.03836304844511505	1053	1000
58	untuniutntrng55886	0.03836304844511505	1078	1000
59	untuniutntrng55886	0.03836304844511505	1041	1000
60	untuniutntrng55886	0.03836304844511505	1027	1000
61	untuniutntrng55886	0.03836304844511505	1094	1000
62	untuniutntrng55886	0.03836304844511505	1079	1000
63	untuniutntrng55886	0.03836304844511505	1079	1000
64	untuniutntrng55886	0.03836304844511505	1069	1000
65	untuniutntrng55886	0.03836304844511505	1058	1000
66	untuniutntrng55886	0.03836304844511505	1020	1000
67	untuniutntrng55886	0.03836304844511505	1077	1000
68	untuniutntrng55886	0.03836304844511505	1079	1000
69	untuniutntrng55886	0.03836304844511505	1131	1000
70	untuniutntrng55886	0.03836304844511505	1102	1000
71	untuniutntrng55886	0.03836304844511505	1027	1000
72	untuniutntrng55886	0.03836304844511505	1053	1000
73	untuniutntrng55886	0.03836304844511505	1004	1000
74	untuniutntrng55886	0.03836304844511505	1046	1000
75	untuniutntrng55886	0.03836304844511505	1043	1000
76	untuniutntrng55886	0.03836304844511505	1029	1000
77	untuniutntrng55886	0.03836304844511505	1033	1000
78	untuniutntrng55886	0.03836304844511505	1068	1000
79	untuniutntrng55886	0.03836304844511505	1084	1000
80	untuniutntrng55886	0.03836304844511505	1088	1000
81	untuniutntrng55886	0.03836304844511505	1125	1000
82	untuniutntrng55886	0.03836304844511505	1067	1000
83	untuniutntrng55886	0.03836304844511505	1092	1000
84	untuniutntrng55886	0.03836304844511505	1078	1000
85	untuniutntrng55886	0.03836304844511505	1041	1000
86	untuniutntrng55886	0.03836304844511505	1069	1000
87	untuniutntrng55886	0.03836304844511505	1057	1000
88	untuniutntrng55886	0.03836304844511505	1057	1000
89	untuniutntrng55886	0.03836304844511505	1083	1000
90	untuniutntrng55886	0.03836304844511505	1105	1000
91	untuniutntrng55886	0.03836304844511505	1058	1000
92	untuniutntrng55886	0.03836304844511505	1075	1000
93	untuniutntrng55886	0.03836304844511505	1117	1000
94	untuniutntrng55886	0.03836304844511505	1091	1000
95	untuniutntrng55886	0.03836304844511505	1110	1000
