	welch_words	welch	welch_rang	dispersion	dispersion_numeric

0	untuniutntrng55886	0.0	43661	1000/1	1000.0

1	untuniutntrng55886	0.0	53222	1000/1	1000.0

2	untuniutntrng55886	0.0	41890	1000/1	1000.0

3	untuniutntrng55886	0.0	44777	1000/1	1000.0

4	untuniutntrng55886	0.0	51904	1000/1	1000.0

5	untuniutntrng55886	0.0	42810	1000/1	1000.0

6	untuniutntrng55886	0.0	53758	1000/1	1000.0

7	untuniutntrng55886	0.0	53561	1000/1	1000.0

8	untuniutntrng55886	0.0	53270	1000/1	1000.0

9	untuniutntrng55886	0.0	53628	1000/1	1000.0

10	untuniutntrng55886	0.0	53478	1000/1	1000.0

11	untuniutntrng55886	0.0	53569	1000/1	1000.0

12	untuniutntrng55886	0.0	52801	1000/1	1000.0

13	untuniutntrng55886	0.0	42512	1000/1	1000.0

14	untuniutntrng55886	0.0	43285	1000/1	1000.0

15	untuniutntrng55886	0.0	43169	1000/1	1000.0

16	untuniutntrng55886	0.0	53355	1000/1	1000.0

17	untuniutntrng55886	0.0	53546	1000/1	1000.0

18	untuniutntrng55886	0.0	42430	1000/1	1000.0

19	untuniutntrng55886	0.0	51832	1000/1	1000.0

20	untuniutntrng55886	0.0	42508	1000/1	1000.0

21	untuniutntrng55886	0.0	42745	1000/1	1000.0

22	untuniutntrng55886	0.0	42798	1000/1	1000.0

23	untuniutntrng55886	0.0	53399	1000/1	1000.0

24	untuniutntrng55886	0.0	42369	1000/1	1000.0

25	untuniutntrng55886	0.0	43384	1000/1	1000.0

26	untuniutntrng55886	0.0	43311	1000/1	1000.0

27	untuniutntrng55886	0.0	53176	1000/1	1000.0

28	untuniutntrng55886	0.0	42567	1000/1	1000.0

29	untuniutntrng55886	0.0	53615	1000/1	1000.0

30	untuniutntrng55886	0.0	53487	1000/1	1000.0

31	untuniutntrng55886	0.0	52265	1000/1	1000.0

32	untuniutntrng55886	0.0	54406	1000/1	1000.0

33	untuniutntrng55886	0.0	44097	1000/1	1000.0

34	untuniutntrng55886	0.0	44528	1000/1	1000.0

35	untuniutntrng55886	0.0	42554	1000/1	1000.0

36	untuniutntrng55886	0.0	51770	1000/1	1000.0

37	untuniutntrng55886	0.0	51955	1000/1	1000.0

38	untuniutntrng55886	0.0	44310	1000/1	1000.0

39	untuniutntrng55886	0.0	53400	1000/1	1000.0

40	untuniutntrng55886	0.0	43818	1000/1	1000.0

41	untuniutntrng55886	0.0	43446	1000/1	1000.0

42	untuniutntrng55886	0.0	42332	1000/1	1000.0

43	untuniutntrng55886	0.0	43976	1000/1	1000.0

44	untuniutntrng55886	0.0	44515	1000/1	1000.0

45	untuniutntrng55886	0.0	53361	1000/1	1000.0

46	untuniutntrng55886	0.0	43373	1000/1	1000.0

47	untuniutntrng55886	0.0	53685	1000/1	1000.0

48	untuniutntrng55886	0.0	44357	1000/1	1000.0

49	untuniutntrng55886	0.0	44242	1000/1	1000.0

50	untuniutntrng55886	0.0	43259	1000/1	1000.0

51	untuniutntrng55886	0.0	53770	1000/1	1000.0

52	untuniutntrng55886	0.0	53573	1000/1	1000.0

53	untuniutntrng55886	0.0	51964	1000/1	1000.0

54	untuniutntrng55886	0.0	42682	1000/1	1000.0

55	untuniutntrng55886	0.0	53451	1000/1	1000.0

56	untuniutntrng55886	0.0	52681	1000/1	1000.0

57	untuniutntrng55886	0.0	44697	1000/1	1000.0

58	untuniutntrng55886	0.0	53506	1000/1	1000.0

59	untuniutntrng55886	0.0	54292	1000/1	1000.0

60	untuniutntrng55886	0.0	43207	1000/1	1000.0

61	untuniutntrng55886	0.0	53330	1000/1	1000.0

62	untuniutntrng55886	0.0	42139	1000/1	1000.0

63	untuniutntrng55886	0.0	53269	1000/1	1000.0

64	untuniutntrng55886	0.0	43086	1000/1	1000.0

65	untuniutntrng55886	0.0	52251	1000/1	1000.0

66	untuniutntrng55886	0.0	53607	1000/1	1000.0

67	untuniutntrng55886	0.0	44367	1000/1	1000.0

68	untuniutntrng55886	0.0	55155	1000/1	1000.0

69	untuniutntrng55886	0.0	53608	1000/1	1000.0

70	untuniutntrng55886	0.0	42673	1000/1	1000.0

71	untuniutntrng55886	0.0	53373	1000/1	1000.0

72	untuniutntrng55886	0.0	43928	1000/1	1000.0

73	untuniutntrng55886	0.0	54736	1000/1	1000.0

74	untuniutntrng55886	0.0	42729	1000/1	1000.0

75	untuniutntrng55886	0.0	54062	1000/1	1000.0

76	untuniutntrng55886	0.0	42238	1000/1	1000.0

77	untuniutntrng55886	0.0	44098	1000/1	1000.0

78	untuniutntrng55886	0.0	52068	1000/1	1000.0

79	untuniutntrng55886	0.0	44269	1000/1	1000.0

80	untuniutntrng55886	0.0	53567	1000/1	1000.0

81	untuniutntrng55886	0.0	53282	1000/1	1000.0

82	untuniutntrng55886	0.0	44324	1000/1	1000.0

83	untuniutntrng55886	0.0	43444	1000/1	1000.0

84	untuniutntrng55886	0.0	53608	1000/1	1000.0

85	untuniutntrng55886	0.0	43900	1000/1	1000.0

86	untuniutntrng55886	0.0	43374	1000/1	1000.0

87	untuniutntrng55886	0.0	43816	1000/1	1000.0

88	untuniutntrng55886	0.0	54285	1000/1	1000.0

89	untuniutntrng55886	0.0	43533	1000/1	1000.0

90	untuniutntrng55886	0.0	44840	1000/1	1000.0

91	untuniutntrng55886	0.0	52865	1000/1	1000.0

92	untuniutntrng55886	0.0	53702	1000/1	1000.0

93	untuniutntrng55886	0.0	53085	1000/1	1000.0

94	untuniutntrng55886	0.0	53160	1000/1	1000.0

95	untuniutntrng55886	0.0	43462	1000/1	1000.0

96	untuniutntrng55886	0.0	52855	1000/1	1000.0

97	untuniutntrng55886	0.0	53350	1000/1	1000.0

98	untuniutntrng55886	0.0	53373	1000/1	1000.0

99	untuniutntrng55886	0.0	43773	1000/1	1000.0

100	untuniutntrng55886	0.0	48369	100/10	10.0

101	untuniutntrng55886	0.0	48518	100/10	10.0

102	untuniutntrng55886	0.0	48423	100/10	10.0

103	untuniutntrng55886	0.0	48444	100/10	10.0

104	untuniutntrng55886	0.0	48407	100/10	10.0

105	untuniutntrng55886	0.0	48432	100/10	10.0

106	untuniutntrng55886	0.0	48239	100/10	10.0

107	untuniutntrng55886	0.0	48211	100/10	10.0

108	untuniutntrng55886	0.0	48496	100/10	10.0

109	untuniutntrng55886	0.0	48400	100/10	10.0

110	untuniutntrng55886	0.0	48376	100/10	10.0

111	untuniutntrng55886	0.0	48353	100/10	10.0

112	untuniutntrng55886	0.0	48490	100/10	10.0

113	untuniutntrng55886	0.0	48405	100/10	10.0

114	untuniutntrng55886	0.0	48428	100/10	10.0

115	untuniutntrng55886	0.0	48296	100/10	10.0

116	untuniutntrng55886	0.0	48502	100/10	10.0

117	untuniutntrng55886	0.0	48251	100/10	10.0

118	untuniutntrng55886	0.0	48487	100/10	10.0

119	untuniutntrng55886	0.0	48393	100/10	10.0

120	untuniutntrng55886	0.0	48422	100/10	10.0

121	untuniutntrng55886	0.0	48491	100/10	10.0

122	untuniutntrng55886	0.0	48396	100/10	10.0

123	untuniutntrng55886	0.0	48480	100/10	10.0

124	untuniutntrng55886	0.0	48627	100/10	10.0

125	untuniutntrng55886	0.0	48501	100/10	10.0

126	untuniutntrng55886	0.0	48443	100/10	10.0

127	untuniutntrng55886	0.0	48317	100/10	10.0

128	untuniutntrng55886	0.0	48387	100/10	10.0

129	untuniutntrng55886	0.0	48703	100/10	10.0

130	untuniutntrng55886	0.0	48325	100/10	10.0

131	untuniutntrng55886	0.0	48409	100/10	10.0

132	untuniutntrng55886	0.0	48455	100/10	10.0

133	untuniutntrng55886	0.0	48536	100/10	10.0

134	untuniutntrng55886	0.0	48319	100/10	10.0

135	untuniutntrng55886	0.0	48501	100/10	10.0

136	untuniutntrng55886	0.0	48334	100/10	10.0

137	untuniutntrng55886	0.0	48571	100/10	10.0

138	untuniutntrng55886	0.0	48215	100/10	10.0

139	untuniutntrng55886	0.0	48446	100/10	10.0

140	untuniutntrng55886	0.0	48355	100/10	10.0

141	untuniutntrng55886	0.0	48497	100/10	10.0

142	untuniutntrng55886	0.0	48589	100/10	10.0

143	untuniutntrng55886	0.0	48339	100/10	10.0

144	untuniutntrng55886	0.0	48413	100/10	10.0

145	untuniutntrng55886	0.0	48513	100/10	10.0

