	tf_idf_words	tf_idf	tf_idf_rang	dispersion	dispersion_numeric
0	untuniutntrng55886	-0.0005542311647472875	21627	1000/1	1000.0
1	untuniutntrng55886	4.667341203457021e-05	19697	1000/1	1000.0
2	untuniutntrng55886	0.0007088245502813173	18282	1000/1	1000.0
3	untuniutntrng55886	-0.00023127979752601835	21267	1000/1	1000.0
4	untuniutntrng55886	4.7877103744764504e-05	19672	1000/1	1000.0
5	untuniutntrng55886	-0.0003745597753064267	21457	1000/1	1000.0
6	untuniutntrng55886	-0.000403559900680528	21657	1000/1	1000.0
7	untuniutntrng55886	0.0001808432529678549	18907	1000/1	1000.0
8	untuniutntrng55886	-0.0004306876658589642	21584	1000/1	1000.0
9	untuniutntrng55886	-0.0005561598429505432	21655	1000/1	1000.0
10	untuniutntrng55886	0.00036757683174182265	18447	1000/1	1000.0
11	untuniutntrng55886	-0.00025198860769704007	21360	1000/1	1000.0
12	untuniutntrng55886	9.823739481162884e-05	19280	1000/1	1000.0
13	untuniutntrng55886	0.00016771766758749695	19028	1000/1	1000.0
14	untuniutntrng55886	0.00034878260931237026	18432	1000/1	1000.0
15	untuniutntrng55886	0.0007077064468853367	18261	1000/1	1000.0
16	untuniutntrng55886	0.0007634331900808755	18339	1000/1	1000.0
17	untuniutntrng55886	-0.0001617543063995308	20991	1000/1	1000.0
18	untuniutntrng55886	0.00028759171498538016	18521	1000/1	1000.0
19	untuniutntrng55886	-0.0003314505019549331	21505	1000/1	1000.0
20	untuniutntrng55886	-0.00010769059411896986	20860	1000/1	1000.0
21	untuniutntrng55886	-0.00037871900353225735	21496	1000/1	1000.0
22	untuniutntrng55886	-0.0002107495636557433	21108	1000/1	1000.0
23	untuniutntrng55886	-0.00016223547970284358	21035	1000/1	1000.0
24	untuniutntrng55886	0.0004475003769005559	18319	1000/1	1000.0
25	untuniutntrng55886	-0.0005033610546489875	21626	1000/1	1000.0
26	untuniutntrng55886	0.0004066268852322973	18499	1000/1	1000.0
27	untuniutntrng55886	0.0002125767002645329	18736	1000/1	1000.0
28	untuniutntrng55886	0.00010957865927918586	19156	1000/1	1000.0
29	untuniutntrng55886	0.00017597487301546091	18938	1000/1	1000.0
30	untuniutntrng55886	-0.0003538424200175694	21627	1000/1	1000.0
31	untuniutntrng55886	-0.000728266740633754	21726	1000/1	1000.0
32	untuniutntrng55886	0.00021816341885094737	18667	1000/1	1000.0
33	untuniutntrng55886	-0.0007769200850193947	21547	1000/1	1000.0
34	untuniutntrng55886	-0.0006864516585622926	21688	1000/1	1000.0
35	untuniutntrng55886	2.9934773827289263e-05	19787	1000/1	1000.0
36	untuniutntrng55886	0.000416779564639036	18418	1000/1	1000.0
37	untuniutntrng55886	-0.0005280424378785176	21504	1000/1	1000.0
38	untuniutntrng55886	0.00044408969286546807	18380	1000/1	1000.0
39	untuniutntrng55886	0.0009932033154822497	18277	1000/1	1000.0
40	untuniutntrng55886	-0.0008235701420908902	21741	1000/1	1000.0
41	untuniutntrng55886	0.0002321037356135536	18683	1000/1	1000.0
42	untuniutntrng55886	0.00023492921581558246	18636	1000/1	1000.0
43	untuniutntrng55886	0.00032983072259462615	18530	1000/1	1000.0
44	untuniutntrng55886	-0.0009561366367193402	21824	1000/1	1000.0
45	untuniutntrng55886	0.00035050607415143537	18331	1000/1	1000.0
46	untuniutntrng55886	-0.00034381004521444325	21427	1000/1	1000.0
47	untuniutntrng55886	-0.00036324739549775664	21611	1000/1	1000.0
48	untuniutntrng55886	-0.00032083104010238733	21602	1000/1	1000.0
49	untuniutntrng55886	-0.00040410925701661604	21692	1000/1	1000.0
50	untuniutntrng55886	0.00020005893830055133	18786	1000/1	1000.0
51	untuniutntrng55886	-0.000712835388847477	21669	1000/1	1000.0
52	untuniutntrng55886	-0.00036154025986057103	21521	1000/1	1000.0
53	untuniutntrng55886	-0.00030689237805781033	21496	1000/1	1000.0
54	untuniutntrng55886	0.00012541828775636255	19153	1000/1	1000.0
55	untuniutntrng55886	-0.0001381591396388826	21023	1000/1	1000.0
56	untuniutntrng55886	-0.0003951198844338588	21521	1000/1	1000.0
57	untuniutntrng55886	0.00039454113309134176	18528	1000/1	1000.0
58	untuniutntrng55886	0.0007197784228292202	18303	1000/1	1000.0
59	untuniutntrng55886	0.00010008638043357275	19259	1000/1	1000.0
60	untuniutntrng55886	0.00042372506289567463	18397	1000/1	1000.0
61	untuniutntrng55886	-2.0797401283578765e-05	20208	1000/1	1000.0
62	untuniutntrng55886	-0.0003252700723395119	21470	1000/1	1000.0
63	untuniutntrng55886	0.0004309058551371647	18425	1000/1	1000.0
64	untuniutntrng55886	0.0001247108237222294	19126	1000/1	1000.0
65	untuniutntrng55886	0.00024056802921446074	18524	1000/1	1000.0
66	untuniutntrng55886	-0.0007713374600980537	21656	1000/1	1000.0
67	untuniutntrng55886	0.0006811528642738374	18292	1000/1	1000.0
68	untuniutntrng55886	-0.0004540216681507836	21755	1000/1	1000.0
69	untuniutntrng55886	-0.0003268299439872502	21634	1000/1	1000.0
70	untuniutntrng55886	0.00010614104845863004	19194	1000/1	1000.0
71	untuniutntrng55886	6.099846172835655e-05	19568	1000/1	1000.0
72	untuniutntrng55886	0.0004897380170647558	18439	1000/1	1000.0
73	untuniutntrng55886	0.0002734591210694637	18565	1000/1	1000.0
74	untuniutntrng55886	0.00010480976950388854	19259	1000/1	1000.0
75	untuniutntrng55886	-0.00016935625909175744	21136	1000/1	1000.0
76	untuniutntrng55886	-0.00010475961942912893	20769	1000/1	1000.0
77	untuniutntrng55886	0.00032725625235763284	18554	1000/1	1000.0
78	untuniutntrng55886	-0.0004006476857773	21607	1000/1	1000.0
79	untuniutntrng55886	0.0004321028089890877	18413	1000/1	1000.0
80	untuniutntrng55886	-0.0005629299611998873	21611	1000/1	1000.0
81	untuniutntrng55886	3.7429301152913645e-05	19759	1000/1	1000.0
82	untuniutntrng55886	-0.0005589031510430108	21692	1000/1	1000.0
83	untuniutntrng55886	-0.000507353680333833	21538	1000/1	1000.0
84	untuniutntrng55886	-0.0004745816748832343	21563	1000/1	1000.0
85	untuniutntrng55886	-0.0003279061649557047	21392	1000/1	1000.0
86	untuniutntrng55886	0.00020667663072859718	18772	1000/1	1000.0
87	untuniutntrng55886	-0.0008239116175025041	21601	1000/1	1000.0
88	untuniutntrng55886	0.0006359339973392997	18216	1000/1	1000.0
89	untuniutntrng55886	0.0001856699212340329	18952	1000/1	1000.0
90	untuniutntrng55886	-0.00035096864676453787	21717	1000/1	1000.0
91	untuniutntrng55886	0.0008006299384705207	18301	1000/1	1000.0
92	untuniutntrng55886	0.0005367570364839258	18368	1000/1	1000.0
93	untuniutntrng55886	0.0008160918884582148	18385	1000/1	1000.0
94	untuniutntrng55886	0.0002840595327860962	18492	1000/1	1000.0
95	untuniutntrng55886	-0.00022168481518580752	21195	1000/1	1000.0
96	untuniutntrng55886	-0.00014522248116155545	20900	1000/1	1000.0
97	untuniutntrng55886	0.0005872420259694923	18364	1000/1	1000.0
98	untuniutntrng55886	-0.00030163762035151365	21487	1000/1	1000.0
99	untuniutntrng55886	-0.00042514357970746536	21699	1000/1	1000.0
100	untuniutntrng55886	-0.6741522240962194	40000	100/10	10.0
101	untuniutntrng55886	-0.6743002493557159	40000	100/10	10.0
102	untuniutntrng55886	-0.6742522257704051	40000	100/10	10.0
103	untuniutntrng55886	-0.6744884084354543	40000	100/10	10.0
104	untuniutntrng55886	-0.6735285093106369	40000	100/10	10.0
105	untuniutntrng55886	-0.6740285331258028	40000	100/10	10.0
106	untuniutntrng55886	-0.6734032341517326	40000	100/10	10.0
107	untuniutntrng55886	-0.6731144184053715	40000	100/10	10.0
108	untuniutntrng55886	-0.6746815067274208	40000	100/10	10.0
109	untuniutntrng55886	-0.6746208170771548	40000	100/10	10.0
110	untuniutntrng55886	-0.6731102965552169	40000	100/10	10.0
111	untuniutntrng55886	-0.674372739471401	40000	100/10	10.0
112	untuniutntrng55886	-0.6746008602408557	40000	100/10	10.0
113	untuniutntrng55886	-0.6759353002924191	40000	100/10	10.0
114	untuniutntrng55886	-0.6752082734547713	40000	100/10	10.0
115	untuniutntrng55886	-0.6742953797056932	40000	100/10	10.0
116	untuniutntrng55886	-0.6740868827291651	40000	100/10	10.0
117	untuniutntrng55886	-0.6734646294581976	40000	100/10	10.0
118	untuniutntrng55886	-0.6750404448750809	40000	100/10	10.0
119	untuniutntrng55886	-0.6737448039300177	40000	100/10	10.0
120	untuniutntrng55886	-0.6745268100928703	40000	100/10	10.0
121	untuniutntrng55886	-0.6734989731748593	40000	100/10	10.0
122	untuniutntrng55886	-0.6740211062400656	40000	100/10	10.0
123	untuniutntrng55886	-0.6741384223757186	40000	100/10	10.0
124	untuniutntrng55886	-0.6745405651313483	40000	100/10	10.0
125	untuniutntrng55886	-0.6737543383363163	40000	100/10	10.0
126	untuniutntrng55886	-0.6731914242821695	40000	100/10	10.0
127	untuniutntrng55886	-0.6735240389626546	40000	100/10	10.0
128	untuniutntrng55886	-0.6735175085317198	40000	100/10	10.0
