	rrf_dr0_words	rrf_dr0	rrf_dr0_rang	dispersion	dispersion_numeric
0	untuniutntrng55886	1.0	24373	1000/1	1000.0
1	untuniutntrng55886	1.0	33590	1000/1	1000.0
2	untuniutntrng55886	1.0	33599	1000/1	1000.0
3	untuniutntrng55886	1.0	31088	1000/1	1000.0
4	untuniutntrng55886	1.0000000000000002	23068	1000/1	1000.0
5	untuniutntrng55886	1.0000000000000002	23296	1000/1	1000.0
6	untuniutntrng55886	1.0	25848	1000/1	1000.0
7	untuniutntrng55886	1.0	31086	1000/1	1000.0
8	untuniutntrng55886	1.0000000000000002	23349	1000/1	1000.0
9	untuniutntrng55886	0.9999999999999996	36152	1000/1	1000.0
10	untuniutntrng55886	1.0	31714	1000/1	1000.0
11	untuniutntrng55886	1.0	25026	1000/1	1000.0
12	untuniutntrng55886	1.0	34971	1000/1	1000.0
13	untuniutntrng55886	0.9999999999999998	35799	1000/1	1000.0
14	untuniutntrng55886	1.0000000000000002	23041	1000/1	1000.0
15	untuniutntrng55886	1.0	27509	1000/1	1000.0
16	untuniutntrng55886	1.0	26165	1000/1	1000.0
17	untuniutntrng55886	1.0000000000000002	23003	1000/1	1000.0
18	untuniutntrng55886	1.0	30390	1000/1	1000.0
19	untuniutntrng55886	0.9999999999999998	35909	1000/1	1000.0
20	untuniutntrng55886	1.0000000000000002	23264	1000/1	1000.0
21	untuniutntrng55886	1.0000000000000002	23151	1000/1	1000.0
22	untuniutntrng55886	1.0	25975	1000/1	1000.0
23	untuniutntrng55886	1.0000000000000002	23290	1000/1	1000.0
24	untuniutntrng55886	0.9999999999999998	35674	1000/1	1000.0
25	untuniutntrng55886	1.0	34531	1000/1	1000.0
26	untuniutntrng55886	1.0	34680	1000/1	1000.0
27	untuniutntrng55886	1.0	27447	1000/1	1000.0
28	untuniutntrng55886	0.9999999999999998	35746	1000/1	1000.0
29	untuniutntrng55886	1.0	32225	1000/1	1000.0
30	untuniutntrng55886	1.0	24013	1000/1	1000.0
31	untuniutntrng55886	1.0	35467	1000/1	1000.0
32	untuniutntrng55886	1.0	33037	1000/1	1000.0
33	untuniutntrng55886	1.0	32588	1000/1	1000.0
34	untuniutntrng55886	1.0000000000000002	23270	1000/1	1000.0
35	untuniutntrng55886	1.0	24400	1000/1	1000.0
36	untuniutntrng55886	1.0000000000000002	23107	1000/1	1000.0
37	untuniutntrng55886	1.0000000000000002	23167	1000/1	1000.0
38	untuniutntrng55886	0.9999999999999996	36015	1000/1	1000.0
39	untuniutntrng55886	1.0	31082	1000/1	1000.0
40	untuniutntrng55886	1.0000000000000002	23207	1000/1	1000.0
41	untuniutntrng55886	1.0	33597	1000/1	1000.0
42	untuniutntrng55886	1.0	34182	1000/1	1000.0
43	untuniutntrng55886	1.0	35327	1000/1	1000.0
44	untuniutntrng55886	1.0	24419	1000/1	1000.0
45	untuniutntrng55886	1.0000000000000002	23011	1000/1	1000.0
46	untuniutntrng55886	1.0	34773	1000/1	1000.0
47	untuniutntrng55886	0.9999999999999998	36027	1000/1	1000.0
48	untuniutntrng55886	1.0	30667	1000/1	1000.0
49	untuniutntrng55886	0.9999999999999998	36119	1000/1	1000.0
50	untuniutntrng55886	0.9999999999999998	35798	1000/1	1000.0
51	untuniutntrng55886	0.9999999999999998	36026	1000/1	1000.0
52	untuniutntrng55886	1.0000000000000002	23104	1000/1	1000.0
53	untuniutntrng55886	1.0	25590	1000/1	1000.0
54	untuniutntrng55886	1.0	32196	1000/1	1000.0
55	untuniutntrng55886	1.0000000000000002	23266	1000/1	1000.0
56	untuniutntrng55886	1.0	31480	1000/1	1000.0
57	untuniutntrng55886	1.0000000000000002	23021	1000/1	1000.0
58	untuniutntrng55886	1.0	28686	1000/1	1000.0
59	untuniutntrng55886	1.0	28082	1000/1	1000.0
60	untuniutntrng55886	1.0000000000000002	23154	1000/1	1000.0
61	untuniutntrng55886	1.0	24289	1000/1	1000.0
62	untuniutntrng55886	1.0000000000000002	23188	1000/1	1000.0
63	untuniutntrng55886	1.0	31899	1000/1	1000.0
64	untuniutntrng55886	1.0	24196	1000/1	1000.0
65	untuniutntrng55886	1.0	23859	1000/1	1000.0
66	untuniutntrng55886	0.9999999999999998	36098	1000/1	1000.0
67	untuniutntrng55886	0.9999999999999998	35835	1000/1	1000.0
68	untuniutntrng55886	0.9999999999999996	36264	1000/1	1000.0
69	untuniutntrng55886	1.0	32365	1000/1	1000.0
70	untuniutntrng55886	0.9999999999999998	35825	1000/1	1000.0
71	untuniutntrng55886	0.9999999999999998	35778	1000/1	1000.0
72	untuniutntrng55886	0.9999999999999998	35812	1000/1	1000.0
73	untuniutntrng55886	1.0000000000000002	23148	1000/1	1000.0
74	untuniutntrng55886	1.0	23217	1000/1	1000.0
75	untuniutntrng55886	1.0	29730	1000/1	1000.0
76	untuniutntrng55886	1.0	28717	1000/1	1000.0
77	untuniutntrng55886	0.9999999999999998	35759	1000/1	1000.0
78	untuniutntrng55886	1.0000000000000002	23366	1000/1	1000.0
79	untuniutntrng55886	1.0	35475	1000/1	1000.0
80	untuniutntrng55886	1.0	27349	1000/1	1000.0
81	untuniutntrng55886	1.0000000000000002	23076	1000/1	1000.0
82	untuniutntrng55886	0.9999999999999998	35982	1000/1	1000.0
83	untuniutntrng55886	1.0	32632	1000/1	1000.0
84	untuniutntrng55886	1.0	29400	1000/1	1000.0
85	untuniutntrng55886	1.0	35619	1000/1	1000.0
86	untuniutntrng55886	1.0	33802	1000/1	1000.0
87	untuniutntrng55886	1.0000000000000002	23167	1000/1	1000.0
88	untuniutntrng55886	1.0	28662	1000/1	1000.0
89	untuniutntrng55886	1.0000000000000002	23278	1000/1	1000.0
90	untuniutntrng55886	1.0	25026	1000/1	1000.0
91	untuniutntrng55886	0.9999999999999998	35559	1000/1	1000.0
92	untuniutntrng55886	0.9999999999999998	35810	1000/1	1000.0
93	untuniutntrng55886	1.0000000000000002	22980	1000/1	1000.0
94	untuniutntrng55886	0.9999999999999996	35744	1000/1	1000.0
95	untuniutntrng55886	1.0000000000000002	23130	1000/1	1000.0
96	untuniutntrng55886	0.9999999999999998	35932	1000/1	1000.0
97	untuniutntrng55886	1.0	28144	1000/1	1000.0
98	untuniutntrng55886	0.9999999999999996	36086	1000/1	1000.0
99	untuniutntrng55886	1.0	33583	1000/1	1000.0
100	untuniutntrng55886	0.9999999999999998	35956	100/10	10.0
101	untuniutntrng55886	0.9999999999999998	35985	100/10	10.0
102	untuniutntrng55886	1.0	35824	100/10	10.0
103	untuniutntrng55886	0.9999999999999998	35957	100/10	10.0
104	untuniutntrng55886	1.0	35914	100/10	10.0
105	untuniutntrng55886	0.9999999999999998	36055	100/10	10.0
106	untuniutntrng55886	0.9999999999999998	35757	100/10	10.0
107	untuniutntrng55886	0.9999999999999998	35731	100/10	10.0
108	untuniutntrng55886	0.9999999999999998	35916	100/10	10.0
109	untuniutntrng55886	0.9999999999999998	35975	100/10	10.0
110	untuniutntrng55886	0.9999999999999998	36016	100/10	10.0
111	untuniutntrng55886	0.9999999999999998	35875	100/10	10.0
112	untuniutntrng55886	0.9999999999999998	35963	100/10	10.0
113	untuniutntrng55886	1.0	35907	100/10	10.0
114	untuniutntrng55886	1.0	35896	100/10	10.0
115	untuniutntrng55886	0.9999999999999998	35840	100/10	10.0
116	untuniutntrng55886	0.9999999999999998	36025	100/10	10.0
117	untuniutntrng55886	0.9999999999999998	35678	100/10	10.0
118	untuniutntrng55886	1.0	35955	100/10	10.0
119	untuniutntrng55886	0.9999999999999998	35827	100/10	10.0
120	untuniutntrng55886	1.0	35805	100/10	10.0
121	untuniutntrng55886	0.9999999999999998	35956	100/10	10.0
122	untuniutntrng55886	1.0	35838	100/10	10.0
123	untuniutntrng55886	0.9999999999999998	35999	100/10	10.0
124	untuniutntrng55886	0.9999999999999998	36090	100/10	10.0
125	untuniutntrng55886	0.9999999999999996	36089	100/10	10.0
126	untuniutntrng55886	0.9999999999999998	36047	100/10	10.0
