idno	translation	author-name	num-authors	author-gender	book-title	publ-ref	publ-decade	publisher	collection	subgenre	group	scifi	sentimental	policier	blanche
Allingham_Maison	yes	Allingham, Margery	1	female	La maison des morts étranges	1999	1990s	Le Masque	Romans d'aventures	policier	populaire	no	no	yes	no
Amila_Balcon	no	Amila, Jean	1	male	Balcon Hiroshima	1985	1980s	(unknown)	(unknown)	policier	populaire	no	no	yes	no
Andrevon_Cauchemar	no	Andrevon, Jean-Pierre	1	male	Cauchemar...chauchemars!	1982	1980s	J'ai lu	Science-Fiction et Fantastique	scifi	populaire	yes	no	no	no
Andrevon_Faudra	no	Andrevon, Jean-Pierre	1	male	Il faudra bien se résoudre à mourir seul	1983	1980s	Denoël	Présence du Futur	scifi	populaire	yes	no	no	no
Andrevon_Gandahar	no	Andrevon, Jean-Pierre 	1	male	Gandahar et l’oiseau-monde	1997	1990s	Hachette Livre	Vertige science-fiction	scifi	populaire	yes	no	no	no
Andrevon_Oreille	no	Andrevon, Jean-Pierre	1	male	L'oreille contre les murs	1980	1980s	Denoël	Présence du Futur	scifi	populaire	yes	no	no	no
Andrevon_Trace	no	Andrevon, Jean-Pierre	1	male	La trace des rêves	1988	1980s	J'ai lu	Science-Fiction et Fantastique	scifi	populaire	yes	no	no	no
Arnold_Prisonniers	yes	Arnold, Judith	1	female	Les prisonniers de l'orage	1990	1990s	Harlequin	Duo Harmonie	sentimental	populaire	no	yes	no	no
August_Question	yes	August, Elizabeth	1	female	Une question de confiance	1990	1990s	Harlequin	Duo Romance	sentimental	populaire	no	yes	no	no
Bachellerie_Ile	no	Bachellerie, Louise	1	female	L'île aux muettes	1985	1980s	Le Masque	Romans d'aventures	policier	populaire	no	no	yes	no
Bagwell_Deux	yes	Bagwell, Stella	1	female	Deux semaines de vacances	1989	1980s	Harlequin	Duo Romance	sentimental	populaire	no	yes	no	no
Baker_Veuve	yes	Baker, Fran	1	female	La veuve et l'or noir	1988	1980s	Presses de la Cité	Collection Passion	sentimental	populaire	no	yes	no	no
Barnard_Attachement	yes	Barnard, Robert	1	male	Attachement fatal	1995	1990s	Le Masque	Romans d'aventures	policier	populaire	no	no	yes	no
Barnes_Amoureuse	yes	Barnes, Elizabeth	1	female		1990	1990s	Harlequin	Collection Horizon	sentimental	populaire	no	yes	no	no
Barr_Feu	yes	Barr, Nevada	1	female	Le feu du ciel	1997	1990s	Le Masque	Romans d'aventures	policier	populaire	no	no	yes	no
Bataille_Valerie	no	Bataille, Thierry	1	male	Valérie	1987	1980s	Fleuve Noir	Femme Viva	sentimental	populaire	no	yes	no	no
BatailleG_Bleu	no	Bataille, Georges	1	male	Le bleu du ciel	1999	1990s	Gallimard	Collection l'imaginaire	blanche	blanche	no	no	no	yes
Beeding_Numero	yes	Beeding, Francis	1	female	Le numéro gagnant	1984	1980s	Le Masque	Romans d'aventures	policier	populaire	no	no	yes	no
Belfiore_Maitre	no	Belfiore, Robert 	1	male	Le maître de Juvenfa	1996	1990s	Hachette Livre	Vertige science-fiction	scifi	populaire	yes	no	no	no
Benacquista_Saga	no	Benacquista, Tonino	1	male	Saga	1999	1990s	Gallimard	Folio	blanche	blanche	no	no	no	yes
Berthelot_Rivage	no	Berthelot, Francis	1	male	Rivage des intouchables	1990	1990s	Denoël	Présence du Futur	scifi	populaire	yes	no	no	no
Bielski_Belles	no	Bielski, Nella	1	female	Si belles et fraîches étaient les roses	1980	1980s	Mercure de France	Folio	blanche	blanche	no	no	no	yes
Blackmon_Assassine	yes	Blackmon, Anita	1	female	On assassine au Richelieu	1988	1980s	Le Masque	Romans d'aventures	policier	populaire	no	no	yes	no
Blair_Eaux	yes	Blair, Kathryn	1	female	Eaux dangereuses	1990	1990s	Harlequin	Duo Harmonie	sentimental	populaire	no	yes	no	no
Blake_Salon	yes	Blake, Susan	1	female	Le salon de l'épouvante	1986	1980s	Hachette	Haute tension / Spectres	sentimental	populaire	no	yes	no	no
BoileauNarcejac_Poudriere	no	Boileau-Narcejac	2	male	La Poudrière	1987	1980s	(unknown)	(unknown)	policier	populaire	no	no	yes	no
Bon_Autoroute	no	Bon, François	1	male	Autoroute	1997	1990s	(unknown)	(unknown)	blanche	blanche	no	no	no	yes
Bon_Limite	no	Bon, François	1	male	Limite	1985	1980s	(unknown)	(unknown)	blanche	blanche	no	no	no	yes
Bon_Sortie	no	Bon, François	1	male	Sortie Usine	1982	1980s	(unknown)	(unknown)	blanche	blanche	no	no	no	yes
Bon_Temps	no	Bon, François	1	male	Temps Machine	1993	1990s	(unknown)	(unknown)	blanche	blanche	no	no	no	yes
Bond_Clameurs	yes	Bond, Evelyn	1	female	Les clameurs du passé	1987	1980s	Fleuve Noir	Tourmentes	sentimental	populaire	no	yes	no	no
Boswell_Amour	yes	Boswell, Barbara	1	female	L'amour à la une	1988	1980s	Presses de la Cité	Collection Passion	sentimental	populaire	no	yes	no	no
Bouchard_Astronef	no	Bouchard, Nicolas 	1	male	Astronef aux enchères	1999	1990s	Fleuve noir	SF space	scifi	populaire	yes	no	no	no
Boulanger_Confession	no	Boulanger, Daniel	1	male	La confession d'Omer	1991	1990s	Gallimard	Folio	blanche	blanche	no	no	no	yes
Bourin_Amours	no	Bourin, Jeanne	1	female	Les amours blessées	1987	1980s	Gallimard	Folio	blanche	blanche	no	no	no	yes
Bourin_Peregrines	no	Bourin, Jeanne	1	female	Les Pérégrines	1989	1980s	Gallimard	Folio	blanche	blanche	no	no	no	yes
Branch_Lion	yes	Branch, Pamela	1	female	Un lion dans la cave	1993	1990s	Le Masque	Romans d'aventures	policier	populaire	no	no	yes	no
Brandon_Fille	yes	Brandon, Joyce	1	female	La fille du bandit	1990	1990s	Harlequin	Grands Romans	sentimental	populaire	no	yes	no	no
Bruce_Trois	yes	Bruce, Leo	1	male	Trois détectives	1985	1980s	Le Masque	Romans d'aventures	policier	populaire	no	no	yes	no
Brunner_Chimeres	yes	Brunner, John	1	male	Les chimères de l'ombre	1982	1980s	Presses Pocket	Science-Fiction	scifi	populaire	yes	no	no	no
Brunner_Noire	yes	Brunner, John	1	male	Noire est la couleur	1984	1980s	Presses Pocket	Science-Fiction	scifi	populaire	yes	no	no	no
Brunner_Ville	yes	Brunner, John	1	male	La ville est un echiquier	1985	1980s	Presses Pocket	Science-Fiction	scifi	populaire	yes	no	no	no
Brussolo_Aussi	no	Brussolo, Serge	1	male	Aussi lourd que le vent	1981	1980s	Denoël	Présence du Futur	scifi	populaire	yes	no	no	no
Brussolo_Portrait	no	Brussolo, Serge	1	male	Portrait du diable en chapeau melon	1982	1980s	Denoël	Présence du Futur	scifi	populaire	yes	no	no	no
Bucheister_Deux	yes	Bucheister, Patt	1	female	Les deux routes	1988	1980s	Presses de la Cité	Collection Passion	sentimental	populaire	no	yes	no	no
Burton_Windspear	yes	Burton, Katherine	1	female	Windspear, monde enchanté	1989	1980s	Harlequin	Collection Or 	sentimental	populaire	no	yes	no	no
