idno	translation	other-identifier	author-name	num-authors	author-gender	author-nationality	book-title	publ-first	publ-edition	publ-ref	publ-decade	publisher	collection	subgenre	group	translation.1	ISBN	status	scifi	sentimental	policier	blanche
Houssin_Temps	no		Houssin, Joël	1.0	male		Le temps du twist		1990.0	1990	1990s	Denoël	Présence du Futur	scifi	populaire	no	2-207-30512-0	tei	yes	no	no	no
Wagner_Balle	no		Wagner, Roland C.	1.0	male	F	La Balle du néant : suivi de Les ravisseurs quantiques (Les futurs mystères de Paris)		1996.0	1996	1990s	Fleuve Noir	Les futurs mystères de Paris	scifi	populaire		2-265-06742-3		yes	no	no	no
Card_Enfants	yes		Card, Orson Scott	1.0	male	USA	Les enfants de l'esprit	1996.0	2000.0	1996	1990s	J’ai lu	J'ai lu	scifi	populaire		2-290-30348-8	tei	yes	no	no	no
Ligny_Ete	no		Ligny, Jean-Marc	1.0	male	F	Un été à Zedong		1991.0	1991	1990s	Presses de la Cité	Chroniques des nouveaux mondes	scifi	populaire		2-265-04547-0		yes	no	no	no
Clarinard_Cite	no		Clarinard, Raymond 	1.0	male	F	La cité sans mémoire		1998.0	1998	1990s	Fleuve noir	SF space	scifi	populaire	no	2-265-06439-4		yes	no	no	no
LeBussy_Djamol	no		Le Bussy, Alain 	1.0	male	B	Djamol de Kîv		1996.0	1996	1990s	Fleuve Noir	Métal	scifi	populaire	no	2-265-05925-0	tei	yes	no	no	no
LeBussy_Tremblemer	no		Le Bussy, Alain	1.0	male	B	Tremblemer		1993.0	1993	1990s	Fleuve Noir	Space, univers infinis	scifi	populaire	no	2-265-04893-3	tei	yes	no	no	no
LeBussy_Nexus	no		Le Bussy, Alain	1.0	male	B	Nexus de feu		1998.0	1998	1990s	Fleuve Noir	Sf metal	scifi	populaire	no	2-265-06467-X	tei	yes	no	no	no
Vila_Iceflyer	no		Vilà, Christian	1.0	male	F	Iceflyer		1997.0	1997	1990s	Fleuve Noir	SF métal	scifi	populaire		2-265-06167-0		yes	no	no	no
Pagel_Cineterre	no		Pagel, Michel	1.0	male	F	Cinéterre		1998.0	1998	1990s	Fleuve Noir	Sf metal	scifi	populaire		2-265-06518-8		yes	no	no	no
Berthelot_Rivage	no		Berthelot, Francis	1.0	male		Rivage des intouchables		1990.0	1990	1990s	Denoël	Présence du Futur	scifi	populaire	no	2-207-30507-4	tei	yes	no	no	no
LeBussy_Rork	no		Le Bussy, Alain	1.0	male	B	Rork des plaines		1995.0	1995	1990s	Fleuve Noir	Métal	scifi	populaire	no	2-265-05117-9	tei	yes	no	no	no
Genefort_Engloutis	no		Genefort, Laurent 	1.0	male	F	Les engloutis		1999.0	1999	1990s	Fleuve noir	SF space	scifi	populaire		2-265-06698-2		yes	no	no	no
Bouchard_Astronef	no		Bouchard, Nicolas 	1.0	male	F	Astronef aux enchères		1999.0	1999	1990s	Fleuve noir	SF space	scifi	populaire	no	2-265-06752-0	tei	yes	no	no	no
Vila_X	no		Vilà, Christian	1.0	male	F	X		1998.0	1998	1990s	Fleuve Noir	SF mystère	scifi	populaire		2-265-05906-4		yes	no	no	no
Wagner_Ravisseurs	no		Wagner, Roland C.	1.0	male	F	Les ravisseurs quantiques		1996.0	1996	1990s	Fleuve Noir	Les futurs mystères de Paris	scifi	populaire				yes	no	no	no
